Gene	Entries
OBSCN	set(['TP53', 'KRTAP10-6', 'DST', 'BAGE2', 'UPF3A', 'AHNAK2', 'FAT4', 'PKHD1', 'NCOR2', 'ATXN1'])
MT-CO1	set(['TUBBP5', 'RP11-1277A3.2', 'KCNN3', 'IDUA'])
RP11-1277A3.2	set(['MT-CO1', 'UPF3A', 'KCNN3'])
MT-RNR2	set(['MT-ND4', 'MT-ND5', 'MT-CYB', 'GPX1', 'KRTAP10-7', 'TUBBP5', 'MUC16', 'IDUA'])
CTNNB1	set(['PKHD1', 'IDUA'])
TUBBP5	set(['KRTAP10-7', 'MT-CO1', 'MT-ND4', 'IDUA', 'MT-RNR2'])
NCOR2	set(['OBSCN', 'MUC16', 'AHNAK2', 'FAT4'])
MT-ND4	set(['MT-ND5', 'MT-CYB', 'MT-RNR2', 'TUBBP5', 'KCNN3', 'MUC16'])
MT-ND5	set(['GPX1', 'MUC2', 'MT-ND4', 'MT-RNR2'])
FAM182A	set(['CROCCP2', 'BAGE2'])
CROCCP2	set(['C2orf81', 'UPF3A', 'FAM182A'])
BAGE2	set(['OTOP1', 'OBSCN', 'FAM182A'])
TTN	set(['PKHD1', 'DST', 'FAT4'])
OTOP1	set(['MUC2', 'UPF3A', 'PCDH15', 'BAGE2', 'FAT4'])
KRTAP5-5	set(['KRTAP10-7'])
MT-CYB	set(['MUC2', 'MT-ND4', 'MT-RNR2'])
MUC2	set(['MT-CYB', 'OTOP1', 'UPF3A', 'MT-ND5'])
DST	set(['OBSCN', 'TP53', 'PCDH15', 'UPF3A', 'TTN', 'FAT4', 'PKHD1'])
PCDH15	set(['OTOP1', 'DST', 'FAT4', 'ATXN1'])
KCNN3	set(['GPX1', 'MT-CO1', 'RP11-1277A3.2', 'MT-ND4'])
DNAH6	set(['KRTAP10-7', 'AHNAK2'])
AHNAK2	set(['OBSCN', 'DNAH6', 'TP53', 'NCOR2', 'MUC16'])
MUC16	set(['TP53', 'MT-RNR2', 'GPX1', 'MT-ND4', 'AHNAK2', 'NCOR2'])
IDUA	set(['CTNNB1', 'MT-CO1', 'TUBBP5', 'KRTAP10-7', 'MT-RNR2'])
C2orf81	set(['CROCCP2'])
TP53	set(['OBSCN', 'DST', 'FAT4', 'UPF3A', 'MUC16', 'AHNAK2', 'PKHD1'])
KRTAP10-7	set(['KRTAP5-5', 'DNAH6', 'MT-RNR2', 'GPX1', 'TUBBP5', 'IDUA'])
KRTAP10-6	set(['OBSCN'])
GPX1	set(['KRTAP10-7', 'MUC16', 'KCNN3', 'MT-ND5', 'MT-RNR2'])
UPF3A	set(['OTOP1', 'OBSCN', 'RP11-1277A3.2', 'TP53', 'MUC2', 'DST', 'CROCCP2', 'FAT4'])
FAT4	set(['OTOP1', 'OBSCN', 'TP53', 'DST', 'UPF3A', 'TTN', 'PCDH15', 'PKHD1', 'NCOR2'])
PKHD1	set(['OBSCN', 'TP53', 'DST', 'CTNNB1', 'TTN', 'FAT4'])
ATXN1	set(['OBSCN', 'PCDH15'])
