numTriplets	MutationFrequency1	MutationFrequency0	Overlap	typeTriplets	Type	AverageOverlapPMN	MutationFrequencyDifferenceRatio	MutationFrequencyDifference	Coverage	SetScore	Concordance	CooccurrenceRatio	MutationFrequencies	Somatic	CombinedScore	GeneSet	Probability	Gene0	Gene1	RoundedLogPCov
46	17	9	5	set(['CooccurringCooccurringCooccurring'])	Cooccurring	10.8	0.38095238095238093	8	21	18.998357291882865	False	0.23809523809523808	[9, 17]	2	79.79310062590804	frozenset(['OBSCN', 'TP53'])	0.0050886788567986426	OBSCN	TP53	3.6
41	11	9	3	set(['CooccurringCooccurringCooccurring'])	Cooccurring	11.666666666666666	0.11764705882352941	2	17	22.3857795503266	False	0.17647058823529413	[9, 11]	2	126.85275078518406	frozenset(['OBSCN', 'AHNAK2'])	0.037182838857856282	OBSCN	AHNAK2	2.7
34	17	11	5	set(['CooccurringCooccurringCooccurring'])	Cooccurring	10.8	0.2608695652173913	6	23	19.333618269588715	False	0.21739130434782608	[11, 17]	2	88.9346440401081	frozenset(['AHNAK2', 'TP53'])	0.014471256717599849	AHNAK2	TP53	3.2
22	9	17	4	set(['CooccurringCooccurringCooccurring'])	Cooccurring	12.5	0.36363636363636365	8	22	20.074379567082637	False	0.18181818181818182	[17, 9]	2	110.4090876189545	frozenset(['TP53', 'FAT4'])	0.029546717377772837	TP53	FAT4	2.9
21	9	12	5	set(['CooccurringCooccurringCooccurring'])	Cooccurring	11.6	0.1875	3	16	22.347231654222348	False	0.3125	[12, 9]	2	71.51114129351151	frozenset(['PKHD1', 'FAT4'])	0.00080733659970894382	PKHD1	FAT4	4.3
18	17	12	5	set(['CooccurringCooccurringCooccurring'])	Cooccurring	10.6	0.20833333333333334	5	24	18.150947880560956	False	0.20833333333333334	[12, 17]	2	87.12454982669259	frozenset(['PKHD1', 'TP53'])	0.021824475992253071	PKHD1	TP53	3.0
14	9	9	4	set(['CooccurringCooccurringCooccurring'])	Cooccurring	12.5	0.0	0	14	22.904887937938362	False	0.2857142857142857	[9, 9]	2	80.16710778278427	frozenset(['DST', 'FAT4'])	0.0023386340070229205	DST	FAT4	3.8
12	10	11	3	set(['CooccurringCooccurringCooccurring'])	Cooccurring	8.666666666666666	0.05555555555555555	1	18	20.9442634822177	False	0.16666666666666666	[11, 10]	2	125.6655808933062	frozenset(['AHNAK2', 'NCOR2'])	0.049416381504889445	AHNAK2	NCOR2	2.6
11	9	12	5	set(['CooccurringCooccurringCooccurring'])	Cooccurring	10.8	0.1875	3	16	21.51068833946148	False	0.3125	[12, 9]	2	68.83420268627674	frozenset(['PKHD1', 'DST'])	0.00080733659970894382	PKHD1	DST	4.3
11	17	9	4	set(['CooccurringCooccurringCooccurring'])	Cooccurring	12.5	0.36363636363636365	8	22	20.433934075798618	False	0.18181818181818182	[9, 17]	2	112.3866374168924	frozenset(['DST', 'TP53'])	0.029546717377772543	DST	TP53	2.9
10	9	9	3	set(['CooccurringCooccurringCooccurring'])	Cooccurring	14.0	0.0	0	15	23.856882063969245	False	0.2	[9, 9]	2	119.28441031984622	frozenset(['OBSCN', 'FAT4'])	0.02110285398611092	OBSCN	FAT4	2.9
10	10	9	3	set(['CooccurringCooccurringCooccurring'])	Cooccurring	9.666666666666666	0.0625	1	16	21.50821416483813	False	0.1875	[9, 10]	2	114.71047554580336	frozenset(['OBSCN', 'NCOR2'])	0.028556237531812124	OBSCN	NCOR2	2.7
8	22	12	7	set(['CooccurringCooccurringMutuallyExclusive', 'CooccurringCooccurringCooccurring'])	Cooccurring	8.714285714285714	0.37037037037037035	10	27	15.025378827034164	False	0.25925925925925924	[12, 22]	2	57.95503261856035	frozenset(['KRTAP10-7', 'TUBBP5'])	0.0035193576430473114	KRTAP10-7	TUBBP5	3.9
8	11	11	4	set(['CooccurringCooccurringCooccurring'])	Cooccurring	10.25	0.0	0	18	16.720612377058355	False	0.2222222222222222	[11, 11]	2	75.2427556967626	frozenset(['GPX1', 'MT-RNR2'])	0.012665409766881595	GPX1	MT-RNR2	3.2
6	11	16	4	set(['CooccurringCooccurringCooccurring'])	Cooccurring	11.75	0.21739130434782608	5	23	16.610207593189983	False	0.17391304347826086	[16, 11]	2	95.50869366084241	frozenset(['MT-ND5', 'MT-RNR2'])	0.049074641539506733	MT-ND5	MT-RNR2	2.7
6	12	9	5	set(['CooccurringCooccurringCooccurring'])	Cooccurring	10.6	0.1875	3	16	21.251446669161307	False	0.3125	[9, 12]	2	68.00462934131619	frozenset(['OBSCN', 'PKHD1'])	0.00080733659970890067	OBSCN	PKHD1	4.3
