Gene	Entries
SSPO	set(['FRYL', 'DNAH10', 'FBLN2', 'SYNE2', 'CACNA1H', 'ANO2', 'C12orf51', 'CACNA1A', 'DCC', 'PIK3CG', 'SEMG1', 'KCNU1', 'ESPL1', 'RELN', 'SAMSN1,LOC388813,NRIP1,USP25,LINC00478,MIR99A,MIRLET7C,MIR125B2,C21orf37,CXADR,BTG3,C21orf91-OT1,C21orf91,CHODL-AS1,CHODL,TMPRSS15(A)', 'MYT1', 'LRRIQ1', 'CASZ1', 'TRHDE', 'WNK3', 'IGHMBP2', 'GMIP', 'ADAMTS20', 'ATP2B3', 'SETD2', 'ZAN', 'CALN1', 'ADCY1', 'MYLK', 'SPEN', 'PPEF2', 'GPR116', 'KIAA1409', 'DOCK8', 'DMD', 'UGT3A2', 'ANO5', 'HSPG2', 'DOCK4', 'DOCK5', 'EP400', 'TMEM132D', 'ZNF599', 'SHPRH', 'APOB', 'LILRB1', 'PCDHB3', 'CHD8', 'AHNAK', 'EPPK1', 'SRMS', 'CARD11', 'TRPM3', 'DCHS1', 'IL4R', 'DSP', 'PLEC', 'TRRAP', 'EVPL', 'DNAH8', 'COL22A1', 'GPR179', 'ITGAM', 'SLC22A2', 'ASPM', 'SCN5A', 'ZNF292', 'PDGFRA', 'TEX15', 'ZFHX4', 'PRKDC', 'SMARCA1', 'ALS2CR11', 'PCDH17', 'LAMC3', 'MUC5B', 'GABRA1', 'HYDIN', 'ENPEP', 'NLRP7', 'CIITA', 'NAV2', 'CDH9', 'DSG3', 'C7', 'DNHD1', 'KIF21B', 'LAMA1', 'TRIO', 'DOCK1', 'RIMBP2', 'C9orf150', 'SLC13A3', 'AIM1', 'MXRA5', 'PTCHD2', 'IGF2BP1', 'TMEM2', 'CYP4F22', 'FHOD3', 'KIF1B', 'TAF1L', 'C2orf55', 'OBSCN', 'SVIL', 'CDH18', 'SCN9A', 'KIAA0649', 'CNTNAP2', 'CNTNAP5', 'C12orf35', 'TRPA1', 'RERE', 'ARAP3', 'RB1', 'LRRK2', 'MED12', 'SPHKAP', 'SLIT3', 'CD163L1', 'ABCB5', 'TRIML1', 'ABCC8', 'HECW1', 'DGKZ', 'CELSR3', 'ATP10B', 'HOOK1', 'CROCC', 'DNMT3L', 'PCNT', 'PCDHA2', 'PTPRS', 'PCDHA7', 'PCDHA8', 'NOTCH2', 'FUT7', 'GRIN2A', 'BCL9', 'UBE3C', 'MGAM'])
HSPA6	set(['COL11A1', 'TRRAP', 'FAM83H', 'MUC5B', 'NALCN', 'CNGB1', 'PLEKHG4B', 'CACNA1D', 'SPAM1', 'LRP1B', 'NAV2', 'GAK', 'SLIT3', 'TRPM2', 'SDK1', 'MICALCL', 'HEATR5A', 'BZRAP1', 'DSP', 'FBN1', 'HERC1', 'CELSR1', 'PLB1', 'GABRB2', 'TESK1', 'DNAH2', 'DBH', 'NUP210L', 'HNF4A', 'GPR179', 'ANK1', 'KDR', 'PCDH17', 'PIK3CA', 'FLNA', 'MYO15A', 'FLNC', 'KIAA1210'])
ZCCHC14	set(['SLC6A3', 'MYOM3', 'TGM2', 'USH2A', 'PRPF8', 'PRPF6', 'PPP1R3A', 'PALM2-AKAP2', 'SLCO6A1', 'DCC', 'WHSC1L1', 'PSD4', 'NPR1', 'SP1', 'PTPN11', 'GRIP1', 'MYO15A', 'PKD1', 'KCNV1', 'GON4L', 'HSPG2', 'ITGA4', 'NOS3', 'CHD5', 'UBE3C', 'MST1', 'XDH', 'SRMS', 'SCNN1B', 'MYH3', 'STAG2', 'COL4A2', 'HMCN1', 'PCDHA13', 'SUPT6H', 'LRBA', 'SH3TC1', 'PCDH17', 'SCN5A', 'ITGAD', 'MDN1', 'SCN7A', 'SHROOM2', 'ATR', 'AKAP13', 'SACS', 'TLL1', 'ZNF536', 'ASPM', 'TBC1D2', 'HFM1', 'OBSL1', 'C3', 'MACF1', 'CEP250', 'AIM1', 'CELSR1', 'SCAF1', 'SYNE1', 'NUP210L', 'LRP4', 'CCDC114', 'ABCA4', 'ZMYM3', 'SCN9A', 'KIAA0649', 'FRRS1', 'CAND1', 'ATP13A2', 'BRPF3', 'MED12', 'GRIN2A', 'ECEL1', 'FCRL2', 'ULK2', 'ARID2(D)', 'ITGB2', 'HOOK1', 'FBN1', 'PCNT', 'CLTCL1', 'BBS1', 'NOTCH3', 'ANK1', 'SPHKAP', 'ABCC9', 'COL6A3', 'PTCH1'])
ABP1	set(['DNAH10', 'DNAH11', 'COL11A2', 'SBF1', 'PRPF6', 'CACNA1H', 'NCAN', 'PKD1L1', 'ADAMTS3', 'SLCO6A1', 'MAP3K1', 'DCC', 'WHSC1L1', 'PIK3CG', 'DLGAP2', 'SKIV2L', 'PSD4', 'TMEM132D', 'PLXND1', 'CACNA1S', 'C2orf55', 'NPR1', 'SLITRK2', 'DYSF', 'KIAA1244', 'SP1', 'TRIML1', 'BZRAP1', 'ZNF208', 'PAPPA', 'FHOD3', 'IGHMBP2', 'ATP2B3', 'UBR4', 'ZAN', 'CALN1', 'INPP5D', 'ADCY1', 'TPTE2', 'POM121L12', 'SPEG', 'LZTR1', 'CFTR', 'ANKRD52', 'SMC1A', 'DOCK8', 'HSPG2', 'MLL2', 'ST14', 'EP400', 'MLL4', 'C12orf35', 'PLXNB3', 'CHD5', 'LRRK1', 'CABIN1', 'PCDHB3', 'FAM47A', 'AFF2', 'USP43', 'EPPK1', 'SRMS', 'EPHB2', 'MAP1B', 'PLCB3', 'STAG2', 'TRRAP', 'CUX2', 'MAGEB1', 'PLEC', 'COL4A2', 'PTPN3', 'ITPR3', 'PCDHA12', 'PCDHGA1', 'BCAR3', 'DNAH2', 'ABCA13', 'ABCG4', 'PKD1L2', 'DNAH5', 'SH3TC1', 'COL22A1', 'NWD1', 'PDE6B', 'HERC2', 'HECW1', 'SLC22A2', 'FLNA', 'VWF', 'FLNC', 'MDN1', 'MYH14', 'SCN5A', 'CCDC45', 'NEB', 'SCN10A', 'ZNF831', 'SHROOM2', 'TCHH', 'ITIH5', 'HYDIN', 'TLL1', 'NLRP7', 'CCDC108', 'C7', 'UGGT1', 'TRIO', 'DOCK1', 'WBSCR17', 'ACACB', 'CELSR3', 'CELSR1', 'MAST2', 'AGAP3', 'MXRA5', 'SYNE2', 'KEL', 'RASGRF1', 'F8', 'PKD1', 'COL1A2', 'NLRP11', 'MYT1', 'KIAA1211', 'SLC4A11', 'ODZ1', 'ZMYM3', 'ZNF318', 'CDH18', 'MEGF8', 'CNTNAP2', 'ODZ3', 'RBMS3', 'NLRP12', 'SMARCA1', 'RB1CC1', 'SPTBN4', 'SMARCA4', 'UBASH3A', 'TRHDE', 'CAND1', 'PCDHGA11', 'BRPF3', 'SLIT3', 'NFKBIL2', 'ABCB4', 'SIPA1L3', 'TERT', 'ULK2', 'HOOK2', 'FBN2', 'CROCC', 'PCNT', 'COL7A1', 'PTPRT', 'PTPRS', 'SRRM2', 'ANK1', 'MAP3K12', 'KANK1', 'COL6A1', 'COL6A3', 'PTCH1'])
FTMT	set(['MDN1', 'ZBTB20(D),LSAMP(D)', 'DOCK8', 'CDH18', 'LRP1', 'MYO1B', 'DOCK4', 'FAM83H', 'LRFN5', 'TMEM132D', 'DLGAP2', 'DLG5', 'PLEKHG4B', 'MGAM', 'PCDHGA11', 'XDH', 'SEMG1', 'BSN', 'PCLO', 'PIK3R1', 'PCDHA2', 'LAMA5', 'DSP', 'HERC2', 'PIK3C2G', 'USP6', 'PTPN3', 'SYNE1', 'FHDC1', 'KCNH5', 'KEL', 'RASGRF1', 'ABCC8', 'PKHD1'])
PCSK4	set(['MET,CAPZA2,ST7-AS1,ST7,ST7-OT4(A)', 'SLIT3', 'KIF4B', 'PDGFRA(A)'])
SBF1	set(['DNAH10', 'DNAH11', 'COL11A2', 'HUWE1', 'ABP1', 'PCDHGB3', 'TXNDC3', 'PRPF6', 'CACNA1H', 'NCAN', 'PKD1L1', 'ADAMTS3', 'WWC3', 'PIK3CA', 'SLCO6A1', 'DCC', 'WHSC1L1', 'PIK3CG', 'DLGAP2', 'SRMS', 'PLXND1', 'CACNA1S', 'C2orf55', 'MICALCL', 'DYSF', 'DBH', 'SP1', 'TRIML1', 'BZRAP1', 'PAPPA', 'IGHMBP2', 'ATP2B3', 'UBR4', 'ZAN', 'SPTA1', 'CALN1', 'ADCY1', 'SPEG', 'LZTR1', 'CFTR', 'DOCK8', 'DOCK1', 'DOCK5', 'MLL2', 'ST14', 'EPHB1', 'EP400', 'MLL4', 'C12orf35', 'PLXNB3', 'CHD5', 'CABIN1', 'PCDHB3', 'USP43', 'EPPK1', 'SKIV2L', 'NF1', 'EPHB2', 'MAP1B', 'PLCB3', 'DSP', 'CUX2', 'HERC2', 'PLEC', 'COL4A2', 'PTPN3', 'EVPL', 'PCDHA12', 'PCDHGA1', 'BCAR3', 'DNAH2', 'ABCA13', 'ABCG4', 'PKD1L2', 'DNAH5', 'COL22A1', 'NWD1', 'PDE6B', 'CASKIN2', 'HECW1', 'SLC22A2', 'GPR98', 'VWF', 'FLNC', 'PRDM9', 'MDN1', 'MYH13', 'CCDC45', 'NEB', 'ZNF831', 'SHROOM2', 'TCHH', 'ITPR3', 'ITIH5', 'TLL1', 'NLRP7', 'CIITA', 'C7', 'DNHD1', 'UGGT1', 'LAMA1', 'TRIO', 'HSPG2', 'WBSCR17', 'ACACB', 'CELSR3', 'CELSR1', 'SALL4', 'MAST2', 'AGAP3', 'MXRA5', 'PTCHD2', 'SYNE2', 'FHOD3', 'F5', 'PKD1', 'COL1A2', 'MYT1', 'KCNC2', 'ZNF318', 'DIP2A', 'MEGF8', 'CNTNAP2', 'ODZ3', 'ODZ1', 'DSCAM', 'SMARCA1', 'RB1CC1', 'SPTBN4', 'SMARCA4', 'SPTBN5', 'UBASH3A', 'KIAA1244', 'PCDHGA11', 'BRPF3', 'SLIT3', 'NFKBIL2', 'ABCB4', 'SIPA1L3', 'TERT', 'ULK2', 'HOOK2', 'FBN2', 'CROCC', 'PCNT', 'HEPH', 'TNN', 'COL7A1', 'SCN5A', 'PTPRS', 'SRRM2', 'ANK1', 'MAP3K12', 'KANK1', 'COL6A1', 'PTCH1', 'STXBP5L'])
L1CAM	set(['TGM2', 'COL11A2', 'HUWE1', 'C7orf52', 'CACNA2D1', 'ASTL', 'EPX', 'PKD1L2', 'WWC3', 'CACNA1F', 'KDM2B', 'SLITRK2', 'WNK3', 'SAMD9L', 'KEL', 'IGHMBP2', 'ADAMTS20', 'SETD2', 'UBR4', 'CALN1', 'INPP5D', 'ADCY1', 'MYLK', 'SPEN', 'STARD8', 'GPR112', 'DLG5', 'KIAA1409', 'NOS1', 'DOCK4', 'MYO18B', 'C12orf35', 'FLG', 'CABIN1', 'AHNAK', 'AFF2', 'LGSN', 'PCLO', 'NF1', 'EPHB2', 'SDK1', 'CUX2', 'HERC2', 'EVPL', 'PCDHA12', 'BCAR3', 'DNAH2', 'SUPT6H', 'PPP1R3A', 'NWD1', 'CFTR', 'RHBDF2', 'WDFY3', 'SLC22A2', 'GPR98', 'ZNF292', 'SCN7A', 'ZNF335', 'ZFHX4', 'ITGA8', 'PRKDC', 'CACNA1S', 'AKAP13', 'DOCK10', 'NLRP7', 'CCDC108', 'DUS3L', 'DNMBP', 'LAMA1', 'EPB41L3', 'PRTG', 'LRP2', 'FHOD3', 'TPTE2', 'PLXNA2', 'TAF1L', 'PRKD3', 'OBSCN', 'MSH6', 'CNTNAP5', 'ODZ1', 'MICALCL', 'ZC3H12B', 'UBASH3A', 'QKI', 'PLEKHG4B', 'GAK', 'ABCB5', 'ARHGEF19', 'DISP1', 'TG', 'MAP3K15', 'RERE', 'PRSS16', 'GPC4', 'COL24A1', 'LRRK2', 'SRRM2', 'ANK1', 'ANK2', 'GRIN2A', 'ABCC9', 'COL6A1', 'PTCH1', 'PTPRH'])
DUSP27	set(['OBSCN', 'SVIL', 'HSPG2', 'KIAA0649', 'UHRF1BP1', 'CC2D1A', 'NLRP12', 'MUC5B', 'SLC9A4', 'LRRK2', 'MST1', 'SLIT3', 'SUSD3', 'ABCB5', 'DNHD1', 'KIF21B', 'KLHL34', 'WNK3', 'HOOK1', 'PCNT', 'HCN1', 'MYLK', 'DNAH10', 'ANK1'])
DLG5	set(['DOCK8', 'FRYL', 'FBLN2', 'HSPG2', 'FTMT', 'DOCK4', 'MYO18B', 'UHRF1BP1', 'ODZ1', 'L1CAM', 'DSCAM', 'ZC3H12B', 'DLGAP2', 'LGSN', 'CABIN1', 'DDX11', 'CHD8', 'RHBDF2', 'SYNE1', 'LRRK2', 'SEMG1', 'PLXNB3', 'PRKD3', 'ESPL1', 'ABCB5', 'WNK3', 'DISP1', 'ABCC8', 'EPHB2', 'CEP250', 'LAMA5', 'ACACB', 'SP1', 'IDH1', 'UMOD', 'CCDC108', 'TMPRSS6', 'PAPPA', 'COL5A3', 'TPR', 'ADAMTS20', 'TP53', 'CEACAM16', 'PCDHA2', 'SAMD9L', 'FHDC1', 'SUPT6H', 'LRBA', 'TPTE2', 'PLXNA2', 'NWD1', 'ANK1', 'STARD8', 'WDFY3', 'ATP8B4', 'PTCH1', 'GPR112', 'COL12A1', 'PRTG'])
