MutationFrequencyDifferenceRatio	Concordance	Probability	Gene0	Gene1	CooccurrenceRatio	MutationFrequency1	MutationFrequency0	MutationFrequencies	Somatic	Overlap	Coverage	RoundedLogPCov	MutationFrequencyDifference	Type	GeneSet
0.30434782608695654	False	4.1280924555775585e-05	PTEN	PTEN(D)	0.017391304347826087	41	76	[76, 41]	2	2	115	6.4	35	MutuallyExclusive	frozenset(['PTEN', 'PTEN(D)'])
0.95	False	0.040072560708868915	CDKN2A(D)	ITGAD	0.005555555555555556	5	176	[176, 5]	2	1	180	3.7	171	MutuallyExclusive	frozenset(['CDKN2A(D)', 'ITGAD'])
0.07368421052631578	False	0.019769286456442554	QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)	PDGFRA(A)	0.042105263157894736	46	53	[53, 46]	2	4	95	3.7	7	MutuallyExclusive	frozenset(['QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)', 'PDGFRA(A)'])
0.95	False	0.040072560708868915	CDKN2A(D)	ABCA13	0.005555555555555556	5	176	[176, 5]	2	1	180	3.7	171	MutuallyExclusive	frozenset(['CDKN2A(D)', 'ABCA13'])
0.95	False	0.040072560708868915	CDKN2A(D)	MSH6	0.005555555555555556	5	176	[176, 5]	2	1	180	3.7	171	MutuallyExclusive	frozenset(['CDKN2A(D)', 'MSH6'])
0.912568306010929	False	0.0063014085165545609	EVPL	CDKN2A(D)	0.01092896174863388	176	9	[9, 176]	2	2	183	4.5	167	MutuallyExclusive	frozenset(['EVPL', 'CDKN2A(D)'])
0.9097744360902256	False	0.01732320779286101	EGFR(A)	MYH4	0.0	6	127	[127, 6]	2	0	133	3.9	121	MutuallyExclusive	frozenset(['EGFR(A)', 'MYH4'])
0.9337016574585635	False	0.038892116328531678	SPEN	CDKN2A(D)	0.011049723756906077	176	7	[7, 176]	2	2	181	3.7	169	MutuallyExclusive	frozenset(['SPEN', 'CDKN2A(D)'])
0.7342657342657343	False	0.029085623069789391	TP53(D)	EGFR(A)	0.04195804195804196	127	22	[22, 127]	2	6	143	3.7	105	MutuallyExclusive	frozenset(['TP53(D)', 'EGFR(A)'])
0.8858695652173914	False	0.02685185752363313	ARID2(D)	CDKN2A(D)	0.02717391304347826	176	13	[13, 176]	2	5	184	3.8	163	MutuallyExclusive	frozenset(['ARID2(D)', 'CDKN2A(D)'])
0.95	False	0.040072560708868915	CDKN2A(D)	SUSD3	0.005555555555555556	5	176	[176, 5]	2	1	180	3.7	171	MutuallyExclusive	frozenset(['CDKN2A(D)', 'SUSD3'])
0.9242424242424242	False	0.034377838720723107	EGFR(A)	NOTCH3	0.0	5	127	[127, 5]	2	0	132	3.6	122	MutuallyExclusive	frozenset(['EGFR(A)', 'NOTCH3'])
0.9392265193370166	False	0.014988117627251066	CDKN2A(D)	ESPL1	0.0055248618784530384	6	176	[176, 6]	2	1	181	4.1	170	MutuallyExclusive	frozenset(['CDKN2A(D)', 'ESPL1'])
0.9097744360902256	False	0.017323207792861842	TPTE2	EGFR(A)	0.0	127	6	[6, 127]	2	0	133	3.9	121	MutuallyExclusive	frozenset(['TPTE2', 'EGFR(A)'])
0.9337016574585635	False	0.038892116328533829	CDKN2A(D)	SCN5A	0.011049723756906077	7	176	[176, 7]	2	2	181	3.7	169	MutuallyExclusive	frozenset(['CDKN2A(D)', 'SCN5A'])
0.7464788732394366	False	0.043898734025866894	AKAP6,NPAS3(D),NPAS3(D)	EGFR(A)	0.04225352112676056	127	21	[21, 127]	2	6	142	3.5	106	MutuallyExclusive	frozenset(['AKAP6,NPAS3(D),NPAS3(D)', 'EGFR(A)'])
0.95	False	0.040072560708868915	CDKN2A(D)	C7	0.005555555555555556	5	176	[176, 5]	2	1	180	3.7	171	MutuallyExclusive	frozenset(['CDKN2A(D)', 'C7'])
0.9447513812154696	False	0.0033776039723389358	RERE	CDKN2A(D)	0.0	176	5	[5, 176]	2	0	181	4.7	171	MutuallyExclusive	frozenset(['RERE', 'CDKN2A(D)'])
0.9021739130434783	False	0.002405638181745399	CDKN2A(D)	EP400	0.010869565217391304	10	176	[176, 10]	2	2	184	4.9	166	MutuallyExclusive	frozenset(['CDKN2A(D)', 'EP400'])
0.9242424242424242	False	0.034377838720724786	RERE	EGFR(A)	0.0	127	5	[5, 127]	2	0	132	3.6	122	MutuallyExclusive	frozenset(['RERE', 'EGFR(A)'])
0.9337016574585635	False	0.038892116328533829	CDKN2A(D)	C15orf2	0.011049723756906077	7	176	[176, 7]	2	2	181	3.7	169	MutuallyExclusive	frozenset(['CDKN2A(D)', 'C15orf2'])
0.9230769230769231	False	0.015966864030769187	CDKN2A(D)	ADCY1	0.01098901098901099	8	176	[176, 8]	2	2	182	4.1	168	MutuallyExclusive	frozenset(['CDKN2A(D)', 'ADCY1'])
0.9242424242424242	False	0.034377838720724786	SP1	EGFR(A)	0.0	127	5	[5, 127]	2	0	132	3.6	122	MutuallyExclusive	frozenset(['SP1', 'EGFR(A)'])
0.788659793814433	False	3.2660267885950211e-06	MDM2(A)	CDKN2A(D)	0.02577319587628866	176	23	[23, 176]	2	5	194	7.8	153	MutuallyExclusive	frozenset(['MDM2(A)', 'CDKN2A(D)'])
0.95	False	0.040072560708868915	CDKN2A(D)	SMARCA4	0.005555555555555556	5	176	[176, 5]	2	1	180	3.7	171	MutuallyExclusive	frozenset(['CDKN2A(D)', 'SMARCA4'])
0.9242424242424242	False	0.034377838720724786	RPGRIP1L	EGFR(A)	0.0	127	5	[5, 127]	2	0	132	3.6	122	MutuallyExclusive	frozenset(['RPGRIP1L', 'EGFR(A)'])
0.9242424242424242	False	0.034377838720724786	SMARCA4	EGFR(A)	0.0	127	5	[5, 127]	2	0	132	3.6	122	MutuallyExclusive	frozenset(['SMARCA4', 'EGFR(A)'])
0.5463917525773195	False	0.015618284927371846	MDM2(A)	TP53	0.020618556701030927	76	23	[23, 76]	2	2	97	3.8	53	MutuallyExclusive	frozenset(['MDM2(A)', 'TP53'])
0.9337016574585635	False	0.038892116328533829	CDKN2A(D)	LTBP2	0.011049723756906077	7	176	[176, 7]	2	2	181	3.7	169	MutuallyExclusive	frozenset(['CDKN2A(D)', 'LTBP2'])
0.7864583333333334	False	0.00070297828276596152	SPTA1	CDKN2A(D)	0.046875	176	25	[25, 176]	2	9	192	5.4	151	MutuallyExclusive	frozenset(['SPTA1', 'CDKN2A(D)'])
0.95	False	0.040072560708868915	CDKN2A(D)	DGKD	0.005555555555555556	5	176	[176, 5]	2	1	180	3.7	171	MutuallyExclusive	frozenset(['CDKN2A(D)', 'DGKD'])
0.9242424242424242	False	0.034377838720724786	PPEF2	EGFR(A)	0.0	127	5	[5, 127]	2	0	132	3.6	122	MutuallyExclusive	frozenset(['PPEF2', 'EGFR(A)'])
0.684931506849315	False	0.028569170193092387	EGFR(A)	FAF1(D)	0.0547945205479452	27	127	[127, 27]	2	8	146	3.7	100	MutuallyExclusive	frozenset(['EGFR(A)', 'FAF1(D)'])
0.9392265193370166	False	0.014988117627251784	ATP2B3	CDKN2A(D)	0.0055248618784530384	176	6	[6, 176]	2	1	181	4.1	170	MutuallyExclusive	frozenset(['ATP2B3', 'CDKN2A(D)'])
0.95	False	0.040072560708853421	MYOM3	CDKN2A(D)	0.005555555555555556	176	5	[5, 176]	2	1	180	3.7	171	MutuallyExclusive	frozenset(['MYOM3', 'CDKN2A(D)'])
0.95	False	0.040072560708853421	SPTBN4	CDKN2A(D)	0.005555555555555556	176	5	[5, 176]	2	1	180	3.7	171	MutuallyExclusive	frozenset(['SPTBN4', 'CDKN2A(D)'])
0.9392265193370166	False	0.014988117627251066	CDKN2A(D)	PRPF6	0.0055248618784530384	6	176	[176, 6]	2	1	181	4.1	170	MutuallyExclusive	frozenset(['CDKN2A(D)', 'PRPF6'])
0.95	False	0.040072560708853421	TBC1D2	CDKN2A(D)	0.005555555555555556	176	5	[5, 176]	2	1	180	3.7	171	MutuallyExclusive	frozenset(['TBC1D2', 'CDKN2A(D)'])
0.9097744360902256	False	0.017323207792861842	ATP2B3	EGFR(A)	0.0	127	6	[6, 127]	2	0	133	3.9	121	MutuallyExclusive	frozenset(['ATP2B3', 'EGFR(A)'])
0.9097744360902256	False	0.01732320779286101	EGFR(A)	PRPF6	0.0	6	127	[127, 6]	2	0	133	3.9	121	MutuallyExclusive	frozenset(['EGFR(A)', 'PRPF6'])
0.9242424242424242	False	0.034377838720724786	HFM1	EGFR(A)	0.0	127	5	[5, 127]	2	0	132	3.6	122	MutuallyExclusive	frozenset(['HFM1', 'EGFR(A)'])
0.27419354838709675	False	2.9558225577996934e-08	TP53	EGFR(A)	0.0913978494623656	127	76	[76, 127]	2	17	186	9.8	51	MutuallyExclusive	frozenset(['TP53', 'EGFR(A)'])
0.8913043478260869	False	0.014120576561457304	MET,CAPZA2,ST7-AS1,ST7,ST7-OT4(A)	CDKN2A(D)	0.021739130434782608	176	12	[12, 176]	2	4	184	4.1	164	MutuallyExclusive	frozenset(['MET,CAPZA2,ST7-AS1,ST7,ST7-OT4(A)', 'CDKN2A(D)'])
0.9392265193370166	False	0.014988117627251066	CDKN2A(D)	NOTCH2	0.0055248618784530384	6	176	[176, 6]	2	1	181	4.1	170	MutuallyExclusive	frozenset(['CDKN2A(D)', 'NOTCH2'])
0.9242424242424242	False	0.034377838720723107	EGFR(A)	RIMBP2	0.0	5	127	[127, 5]	2	0	132	3.6	122	MutuallyExclusive	frozenset(['EGFR(A)', 'RIMBP2'])
0.9242424242424242	False	0.034377838720724786	ANKRD52	EGFR(A)	0.0	127	5	[5, 127]	2	0	132	3.6	122	MutuallyExclusive	frozenset(['ANKRD52', 'EGFR(A)'])
0.4722222222222222	False	0.011231051672064098	QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)	RB1	0.0	19	53	[53, 19]	2	0	72	3.8	34	MutuallyExclusive	frozenset(['QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)', 'RB1'])
0.9242424242424242	False	0.034377838720724786	WNK3	EGFR(A)	0.0	127	5	[5, 127]	2	0	132	3.6	122	MutuallyExclusive	frozenset(['WNK3', 'EGFR(A)'])
0.95	False	0.040072560708868915	CDKN2A(D)	COL12A1	0.005555555555555556	5	176	[176, 5]	2	1	180	3.7	171	MutuallyExclusive	frozenset(['CDKN2A(D)', 'COL12A1'])
0.9242424242424242	False	0.034377838720723107	EGFR(A)	C2orf55	0.0	5	127	[127, 5]	2	0	132	3.6	122	MutuallyExclusive	frozenset(['EGFR(A)', 'C2orf55'])
