ID	Gene0	Gene1	Gene2	TripletType	AverageCoverage	AverageSetScore	AverageCooccurrenceRatio	AverageCombinedScore	AverageTotalEdgeBetweennessCentrality	AverageAverageNodeClosenessCentrality	AverageAverageNodeClusteringCoefficient	AverageRoundedLogPCov	TripletScore	01Type	02Type	12Type	01Concordance	02Concordance	12Concordance	Somatic	Probability	Overlap	Coverage	CooccurrenceRatio
5	SHROOM2	PTCH1	EGFR(A)	CooccurringMutuallyExclusiveMutuallyExclusive	91	24.148672707306368	0.11616161616161615	72.44601812191911	0	0	0	3.5666666666666664	20.31196769773433	Cooccurring	MutuallyExclusive	MutuallyExclusive	False	False	False	3	3.2635203584960739e-06	0	134	0.0
8	PCDHA2	CDKN2A(D)	CASZ1	CooccurringMutuallyExclusiveMutuallyExclusive	122	25.18022994143804	0.13055555555555556	67.14727984383477	0	0	0	3.7000000000000006	18.14791347130669	MutuallyExclusive	Cooccurring	MutuallyExclusive	False	False	False	3	1.7414558029556575e-06	0	181	0.0
9	PCDHA8	CDKN2A(D)	CASZ1	CooccurringMutuallyExclusiveMutuallyExclusive	123	25.168729553317725	0.12869347247800286	67.1166121421806	0	0	0	3.766666666666667	17.818569595269185	MutuallyExclusive	Cooccurring	MutuallyExclusive	False	False	False	3	1.132484196840002e-06	0	182	0.0
10	CDKN2A(D)	ADCY1	CASZ1	CooccurringMutuallyExclusiveMutuallyExclusive	124	25.390399885382003	0.10551485551485551	84.63466628460668	0	0	0	3.6	23.509629523501854	MutuallyExclusive	MutuallyExclusive	Cooccurring	False	False	False	3	4.0020674893531749e-06	0	183	0.0
11	CDKN2A(D)	CASZ1	KIF1B	CooccurringMutuallyExclusiveMutuallyExclusive	122	26.036986932360286	0.148433389494842	60.75296950884067	0	0	0	3.766666666666667	16.129106949249735	MutuallyExclusive	MutuallyExclusive	Cooccurring	False	False	False	3	9.3810511502509186e-07	0	180	0.0
12	ARHGEF19	CDKN2A(D)	CASZ1	CooccurringMutuallyExclusiveMutuallyExclusive	122	25.666217324458977	0.08703703703703702	102.6648692978359	0	0	0	3.033333333333333	33.84556130697887	MutuallyExclusive	Cooccurring	MutuallyExclusive	False	False	False	3	0.00015925634538873075	0	182	0.0
13	ATP10B	CDKN2A(D)	CASZ1	CooccurringMutuallyExclusiveMutuallyExclusive	122	25.598776131082058	0.13055555555555556	68.26340301621882	0	0	0	3.6999999999999997	18.449568382761843	MutuallyExclusive	Cooccurring	MutuallyExclusive	False	False	False	3	1.7414558029556577e-06	0	181	0.0
14	CDKN2A(D)	SLIT3	CASZ1	CooccurringMutuallyExclusiveMutuallyExclusive	125	25.640309227018925	0.08793243793243793	111.10800665041533	0	0	0	3.4666666666666663	32.050386533773654	MutuallyExclusive	MutuallyExclusive	Cooccurring	False	False	False	3	1.6424449378476298e-05	0	183	0.0
15	CDKN2A(D)	PTCHD2	CASZ1	CooccurringMutuallyExclusiveMutuallyExclusive	122	25.55043046455214	0.148433389494842	59.617671083954995	0	0	0	3.766666666666666	15.827700287775665	MutuallyExclusive	MutuallyExclusive	Cooccurring	False	False	False	3	9.3810511502509186e-07	0	180	0.0
16	C12orf35	CDKN2A(D)	CASZ1	CooccurringMutuallyExclusiveMutuallyExclusive	123	23.962534395892796	0.12685185185185185	63.900091722380786	0	0	0	3.9333333333333336	16.24578603111376	MutuallyExclusive	Cooccurring	MutuallyExclusive	False	False	False	3	3.822311781054413e-07	0	183	0.0
17	EVPL	CDKN2A(D)	CASZ1	CooccurringMutuallyExclusiveMutuallyExclusive	124	25.92897506738084	0.09640393001048737	95.07290858039642	0	0	0	3.6	26.409141272332338	MutuallyExclusive	Cooccurring	MutuallyExclusive	False	False	False	3	5.3272530149662527e-06	0	184	0.0
18	ATP2B3	CDKN2A(D)	CASZ1	CooccurringMutuallyExclusiveMutuallyExclusive	123	26.064607894898096	0.07776754655207693	117.29073552704143	0	0	0	3.0333333333333337	38.667275448475195	MutuallyExclusive	Cooccurring	MutuallyExclusive	False	False	False	3	0.00020200811971740203	0	183	0.0
19	CDKN2A(D)	CASZ1	C2orf55	CooccurringMutuallyExclusiveMutuallyExclusive	122	21.079525720231914	0.14656084656084653	49.185560013874465	0	0	0	3.8000000000000003	12.943568424703805	MutuallyExclusive	MutuallyExclusive	Cooccurring	False	False	False	3	6.6914194463075429e-07	1	182	0.005494505494505495
20	CDKN2A(D)	C7	CASZ1	CooccurringMutuallyExclusiveMutuallyExclusive	122	22.37614761755735	0.14656084656084656	52.21101110763382	0	0	0	3.7999999999999994	13.739739765166798	MutuallyExclusive	MutuallyExclusive	Cooccurring	False	False	False	3	6.6914194463075418e-07	0	181	0.0
21	CDKN2A(D)	EGFR(A)	CASZ1	CooccurringMutuallyExclusiveMutuallyExclusive	172	15.768992400321913	0.15880978065444085	33.488787984188804	0	0	0	16.9	1.9815850878218229	Cooccurring	MutuallyExclusive	MutuallyExclusive	False	False	False	3	7.1197111181589413e-45	0	210	0.0
22	CDKN2A(D)	ESPL1	CASZ1	CooccurringMutuallyExclusiveMutuallyExclusive	123	25.970858445337015	0.12869347247800286	69.25562252089871	0	0	0	3.766666666666667	18.386448456875762	MutuallyExclusive	MutuallyExclusive	Cooccurring	False	False	False	3	1.13248419683969e-06	0	182	0.0
24	EGFR(A)	LRRK2	GMIP	CooccurringMutuallyExclusiveMutuallyExclusive	90	26.173937798444033	0.08842239185750637	104.69575119377613	0	0	0	2.9	36.10198317026763	MutuallyExclusive	MutuallyExclusive	Cooccurring	False	False	False	3	0.00023656885856921718	0	133	0.0
25	CELSR3	EGFR(A)	GMIP	CooccurringMutuallyExclusiveMutuallyExclusive	92	24.256622464892864	0.10254452926208651	80.85540821630956	0	0	0	3.6666666666666665	22.051474968084424	MutuallyExclusive	Cooccurring	MutuallyExclusive	False	False	False	3	1.4763910963572328e-06	0	136	0.0
26	ATP10B	EGFR(A)	GMIP	CooccurringMutuallyExclusiveMutuallyExclusive	90	22.78025676145743	0.13006978178733905	60.74735136388648	0	0	0	3.6333333333333333	16.719454503821968	MutuallyExclusive	Cooccurring	MutuallyExclusive	False	False	False	3	1.8020262433800218e-06	1	134	0.007462686567164179
27	PPEF2	EGFR(A)	GMIP	CooccurringMutuallyExclusiveMutuallyExclusive	90	24.964146411185244	0.08587786259541985	99.85658564474097	0	0	0	3.0	33.285528548246994	MutuallyExclusive	Cooccurring	MutuallyExclusive	False	False	False	3	0.00011373874802836667	0	134	0.0
28	PCDH17	EGFR(A)	GMIP	CooccurringMutuallyExclusiveMutuallyExclusive	90	23.20718834669338	0.14540167211922936	54.15010614228455	0	0	0	3.766666666666667	14.376134374057843	MutuallyExclusive	Cooccurring	MutuallyExclusive	False	False	False	3	4.7789221113797005e-07	0	133	0.0
29	C7	EGFR(A)	GMIP	CooccurringMutuallyExclusiveMutuallyExclusive	90	22.889165557188925	0.14540167211922936	53.40805296677416	0	0	0	3.766666666666667	14.179129106223225	MutuallyExclusive	Cooccurring	MutuallyExclusive	False	False	False	3	4.7789221113799345e-07	0	133	0.0
30	BRAF	EGFR(A)	GMIP	CooccurringMutuallyExclusiveMutuallyExclusive	90	22.90812064018391	0.0791438558614131	103.0865428808276	0	0	0	2.9	35.54708375200951	MutuallyExclusive	Cooccurring	MutuallyExclusive	False	False	False	3	0.00032143842194208013	0	134	0.0
31	ECEL1	PTPRD	CDK4(A)	CooccurringMutuallyExclusiveMutuallyExclusive	42	24.08890176194637	0.07407407407407407	108.40005792875867	0	0	0	2.6999999999999997	40.14816960324396	Cooccurring	MutuallyExclusive	MutuallyExclusive	False	False	False	3	0.00024683200405106715	0	62	0.0
