02Concordance	AverageTotalEdgeBetweennessCentrality	MutationFrequency1	MutationFrequency0	Overlap	MutationFrequency2	01Concordance	MutationFrequencyDifference	Type	AverageOverlapPMN	AverageSetScore	MutationFrequencyDifferenceRatio	AverageCombinedScore	TripletScore	Coverage	AverageAverageNodeClosenessCentrality	12Type	SetScore	Concordance	AverageAverageNodeClusteringCoefficient	RoundedLogPCov	CooccurrenceRatio	MutationFrequencies	Somatic	CombinedScore	12Concordance	AverageRoundedLogPCov	ID	GeneSet	Probability	TripletType	Gene0	Gene1	Gene2	AverageCoverage	01Type	02Type	AverageCooccurrenceRatio
False	0	6	6	3	22	False	0	Cooccurring	250.66666666666666	24.34081492487729	0.0	121.89621684195737	19.348605847929743	26	0	Cooccurring	36.857089206070455	False	0	inf	0.11538461538461539	[6, 6, 22]	3	319.4281064526106	False	6.3	0	set(['SHROOM2', 'PTCH1', 'NF1'])	5.8458528706796333e-16	CooccurringCooccurringCooccurring	SHROOM2	PTCH1	NF1	19	Cooccurring	Cooccurring	0.2222222222222222
False	0	6	6	3	7	False	0	Cooccurring	250.66666666666666	24.09679889676328	0.0	77.63947713284357	12.868421624228214	13	0	Cooccurring	36.18346844786086	False	0	inf	0.23076923076923078	[6, 6, 7]	3	156.7950299407304	False	6.033333333333334	1	set(['SHROOM2', 'PTCH1', 'DCC'])	8.0637635928726167e-16	CooccurringCooccurringCooccurring	SHROOM2	PTCH1	DCC	9	Cooccurring	Cooccurring	0.3111111111111111
False	0	6	6	3	5	False	0	Cooccurring	250.66666666666666	24.653391500633756	0.0	68.42556319139072	10.861200506569956	11	0	Cooccurring	37.01835735366657	False	0	inf	0.2727272727272727	[6, 6, 5]	3	135.73397696344412	False	6.3	2	set(['SHROOM2', 'PTCH1', 'PCNT'])	6.6662522208531694e-17	CooccurringCooccurringCooccurring	SHROOM2	PTCH1	PCNT	8	Cooccurring	Cooccurring	0.3611111111111111
False	0	6	6	2	8	False	0	Cooccurring	356.5	23.566841380567286	0.0	81.04538001601198	13.736505087459658	13	0	Cooccurring	38.841710657249784	False	0	inf	0.15384615384615385	[6, 6, 8]	3	252.4711192721236	False	5.8999999999999995	3	set(['SHROOM2', 'PTCH1', 'ODZ1'])	2.0513227154912437e-15	CooccurringCooccurringCooccurring	SHROOM2	PTCH1	ODZ1	10	Cooccurring	Cooccurring	0.2929292929292929
False	0	6	6	2	10	False	0	Cooccurring	356.5	24.3845721753614	0.0	94.93373600109658	16.655041403701155	15	0	Cooccurring	40.72622221492769	False	0	inf	0.13333333333333333	[6, 6, 10]	3	305.44666661195765	False	5.7	4	set(['SHROOM2', 'PTCH1', 'CACNA1S'])	9.3009091155714036e-15	CooccurringCooccurringCooccurring	SHROOM2	PTCH1	CACNA1S	11	Cooccurring	Cooccurring	0.26495726495726496
False	0	5	5	2	19	False	0	Cooccurring	303.0	24.745014277356642	0.0	131.96867598200004	23.994304724000006	22	0	Cooccurring	39.352602761774826	False	0	inf	0.09090909090909091	[5, 5, 19]	3	432.8786303795231	False	5.5	6	set(['RERE', 'ANK2', 'PCLO'])	1.0066663542019467e-13	CooccurringCooccurringCooccurring	RERE	ANK2	PCLO	16	Cooccurring	Cooccurring	0.1976190476190476
False	0	5	6	2	19	False	1	Cooccurring	303.0	25.29666417340988	0.041666666666666664	158.80985618358864	33.551378066955344	24	0	Cooccurring	38.89742172607538	False	0	inf	0.08333333333333333	[6, 5, 19]	3	466.76906071290455	False	4.733333333333333	7	set(['IGHMBP2', 'ANK2', 'PCLO'])	2.60581996413662e-11	CooccurringCooccurringCooccurring	IGHMBP2	ANK2	PCLO	17	Cooccurring	Cooccurring	0.16714766714766713
False	0	5	5	2	5	False	0	Cooccurring	287.5	21.60984849518154	0.0	86.43939398072617	20.102184646680506	11	0	Cooccurring	32.344936145807836	False	0	inf	0.18181818181818182	[5, 5, 5]	3	177.8971488019431	False	4.3	23	set(['AFM', 'ITGAD', 'SCNN1B'])	5.670277888745538e-11	CooccurringCooccurringCooccurring	AFM	ITGAD	SCNN1B	8	Cooccurring	Cooccurring	0.25
False	0	176	53	28	127	False	123	Cooccurring	18.678571428571427	16.047205292310917	0.5857142857142857	57.6692031118642	2.071947417192726	210	0	Cooccurring	25.547284414300076	False	0	inf	0.13333333333333333	[53, 176, 127]	3	191.60463310725058	False	27.833333333333332	35	set(['QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)', 'CDKN2A(D)', 'EGFR(A)'])	1.5482152807732586e-77	CooccurringCooccurringCooccurring	QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)	CDKN2A(D)	EGFR(A)	179	Cooccurring	Cooccurring	0.31164443147848625
False	0	8	6	2	5	False	2	Cooccurring	26.5	21.887638628651334	0.15384615384615385	83.90855306954934	15.732853700540502	13	0	Cooccurring	33.120097788642724	False	0	inf	0.15384615384615385	[6, 8, 5]	3	215.28063562617768	False	5.333333333333333	57	set(['GRM8', 'NLRP7', 'SRGAP1'])	9.2249522979938537e-14	CooccurringCooccurringCooccurring	GRM8	NLRP7	SRGAP1	10	Cooccurring	Cooccurring	0.264983164983165
False	0	5	8	2	22	False	3	Cooccurring	92.5	22.643895034919495	0.1111111111111111	135.28745038508876	24.158473283051563	27	0	Cooccurring	35.313338988768564	False	0	inf	0.07407407407407407	[8, 5, 22]	3	476.73007634837563	False	5.6000000000000005	58	set(['NLRP7', 'SRGAP1', 'HYDIN'])	9.207096365494224e-14	CooccurringCooccurringCooccurring	NLRP7	SRGAP1	HYDIN	20	Cooccurring	Cooccurring	0.19294871794871793
False	0	12	7	3	5	False	5	Cooccurring	233.0	23.30846396182639	0.2777777777777778	101.68643618371338	18.05084665983078	18	0	Cooccurring	35.08623668268855	False	0	inf	0.16666666666666666	[7, 12, 5]	3	210.5174200961313	False	5.633333333333333	59	set(['KIAA1409', 'MYO15A', 'RIMBP2'])	2.3657741132795128e-14	CooccurringCooccurringCooccurring	KIAA1409	MYO15A	RIMBP2	13	Cooccurring	Cooccurring	0.24503968253968253
