MutationFrequencyDifferenceRatio	Concordance	Probability	Gene0	Gene1	CooccurrenceRatio	MutationFrequency1	MutationFrequency0	MutationFrequencies	Somatic	SetScore	Overlap	Coverage	RoundedLogPCov	CombinedScore	AverageOverlapPMN	MutationFrequencyDifference	Type	GeneSet	PermutationProbability
0.237864078	FALSE	2.93E-44	CDKN2A(D)	EGFR(A)	0.470873786	127	176	"[176, 127]"	2	15.7689924	97	206	45.8	33.48878798	19.21649485	49	Cooccurring	"('CDKN2A(D)', 'EGFR(A)')"	0
0.539568345	FALSE	9.53E-23	EGFR	EGFR(A)	0.287769784	127	52	"[52, 127]"	2	17.63517836	40	139	24.2	61.2822448	20.4	75	Cooccurring	"('EGFR', 'EGFR(A)')"	0
0.535714286	FALSE	7.27E-22	MDM2(A)	CDK4(A)	0.357142857	53	23	"[23, 53]"	2	16.88085712	20	56	22.9	47.26639994	19.55	30	Cooccurring	"('MDM2(A)', 'CDK4(A)')"	0
0.661290323	FALSE	1.58E-19	"QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)"	CDKN2A(D)	0.231182796	176	53	"[53, 176]"	2	16.11275282	43	186	21.1	69.69702381	19	123	Cooccurring	"('QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)', 'CDKN2A(D)')"	0.04
0.506849315	FALSE	3.35E-15	"QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)"	EGFR(A)	0.232876712	127	53	"[53, 127]"	2	16.25987066	34	146	16.6	69.82179754	18.58823529	74	Cooccurring	"('QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)', 'EGFR(A)')"	0.02
0.142857143	FALSE	3.73E-14	LINC00478(A)	"SAMSN1,LOC388813,NRIP1,USP25,LINC00478,MIR99A,MIRLET7C,MIR125B2,C21orf37,CXADR,BTG3,C21orf91-OT1,C21orf91,CHODL-AS1,CHODL,TMPRSS15(A)"	0.857142857	7	6	"[6, 7]"	2	17.55410402	6	7	14.3	20.47978803	33.16666667	1	Cooccurring	"('LINC00478(A)', 'SAMSN1,LOC388813,NRIP1,USP25,LINC00478,MIR99A,MIRLET7C,MIR125B2,C21orf37,CXADR,BTG3,C21orf91-OT1,C21orf91,CHODL-AS1,CHODL,TMPRSS15(A)')"	0
0.25	FALSE	1.49E-13	C12orf35	ADCY1	0.75	8	6	"[6, 8]"	2	20.6655007	6	8	13.7	27.55400094	165.8333333	2	Cooccurring	"('C12orf35', 'ADCY1')"	0
0.5	FALSE	1.79E-13	ADARB2(D)	"DIP2C,C10orf108,LARP4B,GTPBP4,IDI2,IDI2-AS1,IDI1,WDR37,LINC00200,ADARB2,ADARB2-AS1,LOC282980,LOC399708(D)"	0.5	14	7	"[7, 14]"	2	17.52800867	7	14	13.9	35.05601735	20.85714286	7	Cooccurring	"('ADARB2(D)', 'DIP2C,C10orf108,LARP4B,GTPBP4,IDI2,IDI2-AS1,IDI1,WDR37,LINC00200,ADARB2,ADARB2-AS1,LOC282980,LOC399708(D)')"	0
0.277777778	FALSE	3.92E-11	"ZBTB20(D),LSAMP(D)"	TRH(D)	0.388888889	10	15	"[15, 10]"	2	17.48194956	7	18	11.7	44.95358459	21.42857143	5	Cooccurring	"('ZBTB20(D),LSAMP(D)', 'TRH(D)')"	0
0.714285714	FALSE	4.92E-10	ARID2(D)	CDK4(A)	0.178571429	53	13	"[13, 53]"	2	17.3814578	10	56	11.1	97.33616365	22.7	40	Cooccurring	"('ARID2(D)', 'CDK4(A)')"	0
