Gene	Entries
IL17RA	set(['CDKN2A(D)'])
HSPA6	set(['PTEN'])
ZCCHC14	set(['CDKN2A(D)'])
ABP1	set(['QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)', 'MDM4(A)', 'CDK4(A)'])
AFF2	set(['PDGFRA(A)', 'MDM4(A)', 'CDK4(A)'])
SBF1	set(['CDK4(A)'])
FRYL	set(['CDKN2A(D)', 'RB1(D)'])
L1CAM	set(['PTEN(D)'])
ODZ3	set(['QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)', 'MDM4(A)'])
SYNE2	set(['MDM2(A)', 'PTEN', 'MIR3201(D),FAM19A5(D),LOC339685(D)', 'CDK4(A)', 'DIP2C,C10orf108,LARP4B,GTPBP4,IDI2,IDI2-AS1,IDI1,WDR37,LINC00200,ADARB2,ADARB2-AS1,LOC282980,LOC399708(D)'])
DUSP27	set(['EGFR'])
CACNA1H	set(['PTEN', 'CDKN2A(D)', 'PTEN(D)'])
DLG5	set(['MDM4(A)', 'PDGFRA(A)'])
USH2A	set(['FRMPD4(D)', 'NF1,RAB11FIP4(D)'])
C12orf51	set(['CDKN2A(D)'])
EML2	set(['MDM4(A)'])
PIK3CA	set(['SOX2-OT(A),PIK3CA(A)', 'MDM2(A)', 'INPP5A,NKX6-2,TTC40,LOC399829,GPR123,KNDC1,UTF1,VENTX,MIR202,ADAM8,TUBGCP2,ZNF511,CALY,PRAP1,C10orf125,ECHS1,MIR3944,PAOX,MTG1(D),PAOX(D)', 'PTEN', 'RB1(D)', 'FRMPD4(D)'])
DEAF1	set(['EGFR(A)'])
BCLAF1	set(['PTEN'])
CACNA1F	set(['CDKN2A(D)'])
PIK3CG	set(['QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)', 'CDKN2A(D)', 'EGFR(A)'])
SEMG1	set(['QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)', 'TP53(D)', 'CDKN2A(D)', 'FAF1(D)'])
SKIV2L	set(['PTEN', 'CDKN2A(D)', 'EGFR(A)'])
ESPL1	set(['CDKN2A(D)', 'RB1(D)', 'PTEN(D)', 'CDK4(A)'])
GRM8	set(['CDKN2A(D)'])
NELL2(A)	set(['CDKN2A(D)'])
SLITRK6	set(['CDKN2A(D)'])
ZMYM3	set(['MDM4(A)', 'MIR3201(D),FAM19A5(D),LOC339685(D)', 'EGFR(A)', 'PTEN(D)'])
SLITRK2	set(['CDK4(A)', 'PTEN(D)'])
CASZ1	set(['CDKN2A(D)', 'EGFR(A)'])
LRP1B(D)	set(['PDGFRA(A)', 'FRMPD4(D)', 'MIR3201(D),FAM19A5(D),LOC339685(D)', 'NF1', 'CACNA1S', 'HEATR7B2'])
SP1	set(['PDGFRA(A)', 'PTEN(D)', 'CDKN2A(D)', 'CDK4(A)', 'EGFR(A)'])
IDH1	set(['AKAP6,NPAS3(D),NPAS3(D)', 'OBSCN', 'MDM2(A)', 'PTEN(D)', 'MDM4(A)', 'SPTA1', 'CDKN2A(D)', 'EGFR(A)'])
KCNH5	set(['PTEN(D)'])
ZNF208	set(['CDK4(A)', 'MDM4(A)'])
PAPPA	set(['PTEN'])
ARID2(D)	set(['LRP2', 'EGFR', 'FAF1(D)', 'AKAP6,NPAS3(D),NPAS3(D)', 'CDKN2A(D)', 'PCLO', 'RB1', 'EGFR(A)', 'HYDIN'])
LRP1	set(['MDM4(A)'])
PIK3C2G	set(['PDGFRA(A)'])
GMIP	set(['EGFR(A)'])
SETD2	set(['CDK4(A)', 'MDM4(A)'])
RASGRF1	set(['PTEN(D)'])
ZAN	set(['CDKN2A(D)', 'MDM4(A)'])
INPP5D	set(['QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)'])
ADCY1	set(['QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)', 'CDKN2A(D)', 'EGFR(A)'])
HCN1	set(['RB1(D)', 'PTEN(D)'])
PTPN11	set(['QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)', 'RB1(D)', 'MDM4(A)', 'CDK4(A)'])
MDM2(A)	set(['RPL5,FAM69A,SNORA66(D)', 'EGFR', 'TCHH', 'ADAMTS16', 'FLG', 'HYDIN', 'FLG2', 'FAT2', 'PIK3CA', 'CDKN2A(D)', 'PCLO', 'PIK3R1', 'LRRIQ1', 'TP53(D)', 'MICALCL', 'IDH1', 'FAF1(D)', 'AKAP6,NPAS3(D),NPAS3(D)', 'SYNE1', 'SYNE2', 'LRP2', 'TP53', 'PTEN', 'CNTNAP2', 'FRMPD4(D)', 'HEATR7B2'])
MYLK	set(['QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)'])
KCNN2	set(['PTEN', 'PDGFRA(A)'])
SAMD9	set(['PDGFRA(A)'])
SPEN	set(['QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)', 'CDKN2A(D)'])
PTEN	set(['HSPA6', 'DIP2C,C10orf108,LARP4B,GTPBP4,IDI2,IDI2-AS1,IDI1,WDR37,LINC00200,ADARB2,ADARB2-AS1,LOC282980,LOC399708(D)', 'PRPF6', 'CACNA1H', 'PKD1L1', 'PKD1L2', 'CNGB1', 'PIK3CA', 'ARHGEF2', 'BCLAF1', 'PLXND1', 'KDM2B', 'MICALCL', 'KIAA1244', 'PAPPA', 'KCNN2', 'ATP2B3', 'CALN1', 'MDM2(A)', 'ATP8B4', 'DCHS1', 'CCDC60', 'DOCK1', 'MYO18B', 'PLCB3', 'DPPA4', 'ZNF599', 'SHPRH', 'CABIN1', 'PREX1', 'PCDHB3', 'SKIV2L', 'PVRL4', 'PIK3R1', 'TRPM3', 'EPHB2', 'TRRAP', 'HMCN1', 'SPAM1', 'DNAH1', 'ABCG4', 'DNAH8', 'HNF4A', 'PDE6B', 'WDFY3', 'HECW1', 'MYH11', 'PTEN(D)', 'CACNA1E', 'EGFR(A)', 'ZNF536', 'CIITA', 'MIR3201(D),FAM19A5(D),LOC339685(D)', 'UGGT1', 'LAMA1', 'LAMA2', 'MACF1', 'ACACB', 'SLC13A3', 'KIDINS220', 'PTCHD2', 'SYNE2', 'ADAM29', 'KIF1B', 'ABCA4', 'PITPNM1', 'TMTC1', 'PDPN,PRDM2(A)', 'KIF21B', 'KCNC2', 'KIAA0649', 'NLRP11', 'RB1CC1', 'SPTBN4', 'ARAP3', 'GRHL3', 'KIF4A', 'LRP1B', 'PTPRD', 'SLIT3', 'DISP1', 'SIPA1L2', 'POTEB', 'NLGN4X', 'TMPRSS6', 'PCDHA8', 'NOTCH2', 'SPHKAP', 'HEATR7B2', 'COL6A6'])
POM121L12	set(['QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)'])
BCOR	set(['CDKN2A(D)', 'CDK4(A)'])
GPR116	set(['QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)', 'CDKN2A(D)', 'RB1(D)'])
GPR112	set(['QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)', 'CDK4(A)'])
EPHB2	set(['PTEN'])
DOCK8	set(['QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)'])
UBASH3A	set(['CDK4(A)', 'QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)', 'MDM4(A)', 'PTEN(D)'])
DMD	set(['SOX2-OT(A),PIK3CA(A)'])
RPL5,FAM69A,SNORA66(D)	set(['DNAH3', 'TP53', 'MDM2(A)', 'DIP2C,C10orf108,LARP4B,GTPBP4,IDI2,IDI2-AS1,IDI1,WDR37,LINC00200,ADARB2,ADARB2-AS1,LOC282980,LOC399708(D)', 'CDK4(A)', 'TP53(D)', 'HYDIN'])
RRP1B	set(['CDK4(A)'])
DOCK1	set(['PTEN', 'CDKN2A(D)', 'RB1(D)', 'EGFR(A)'])
DNAH11	set(['INPP5A,NKX6-2,TTC40,LOC399829,GPR123,KNDC1,UTF1,VENTX,MIR202,ADAM8,TUBGCP2,ZNF511,CALY,PRAP1,C10orf125,ECHS1,MIR3944,PAOX,MTG1(D),PAOX(D)', 'RB1(D)', 'FAF1(D)'])
PLCB2	set(['CDK4(A)'])
ANO2	set(['CDKN2A(D)'])
DOCK5	set(['TP53(D)', 'CDK4(A)', 'FAF1(D)'])
MLL3	set(['MDM4(A)'])
MLL2	set(['QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)'])
MYO18B	set(['PTEN', 'EGFR(A)'])
EPHB1	set(['PDGFRA(A)'])
CC2D1A	set(['MDM4(A)', 'EGFR(A)'])
ARHGAP9	set(['EGFR'])
MLL4	set(['RB1(D)', 'MDM4(A)', 'FAF1(D)'])
CHL1	set(['RB1(D)', 'CDK4(A)', 'PDGFRA(A)'])
C12orf35	set(['QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)', 'CDKN2A(D)', 'EGFR(A)'])
SPAG17	set(['RB1(D)', 'MDM4(A)'])
ASPM	set(['CDKN2A(D)', 'EGFR(A)'])
