MutationFrequencyDifferenceRatio	Concordance	Probability	Gene0	Gene1	CooccurrenceRatio	MutationFrequency1	MutationFrequency0	MutationFrequencies	Somatic	Overlap	Coverage	RoundedLogPCov	MutationFrequencyDifference	Type	GeneSet	PermutationProbability
0.4594594594594595	False	0.68030221229205901	FAF1(D)	ADAMTS16	0.0	10	27	[27, 10]	2	0	37	1.7	17	MutuallyExclusive	('FAF1(D)', 'ADAMTS16')	0.03
0.7446808510638298	False	0.70218900658992944	MYH13	PTEN(D)	0.0	41	6	[6, 41]	2	0	47	1.8	35	MutuallyExclusive	('MYH13', 'PTEN(D)')	0.04
0.7083333333333334	False	0.66181067661773096	ITGAM	MDM4(A)	0.0	41	7	[7, 41]	2	0	48	1.9	34	MutuallyExclusive	('ITGAM', 'MDM4(A)')	0.04
0.9312977099236641	False	0.78471399238763029	EGFR(A)	GMIP	0.007633587786259542	5	127	[127, 5]	2	1	131	2.2	122	MutuallyExclusive	('EGFR(A)', 'GMIP')	0.04
0.6853932584269663	False	0.79503273948025699	KRTAP5-5	TP53	0.02247191011235955	76	15	[15, 76]	2	2	89	2.0	61	MutuallyExclusive	('KRTAP5-5', 'TP53')	0.03
0.8275862068965517	False	0.6811518135923802	PTPRD	CDK4(A)	0.0	53	5	[5, 53]	2	0	58	1.9	48	MutuallyExclusive	('PTPRD', 'CDK4(A)')	0.04
0.95	False	0.64384448813714468	CDKN2A(D)	MSH6	0.005555555555555556	5	176	[176, 5]	2	1	180	2.4	171	MutuallyExclusive	('CDKN2A(D)', 'MSH6')	0.02
0.912568306010929	False	0.61537867169990634	EVPL	CDKN2A(D)	0.01092896174863388	176	9	[9, 176]	2	2	183	2.5	167	MutuallyExclusive	('EVPL', 'CDKN2A(D)')	0.0
0.9097744360902256	False	0.31017168916568583	EGFR(A)	MYH4	0.0	6	127	[127, 6]	2	0	133	2.6	121	MutuallyExclusive	('EGFR(A)', 'MYH4')	0.0
0.06382978723404255	False	0.45367210504896355	SPTA1	INPP5A,NKX6-2,TTC40,LOC399829,GPR123,KNDC1,UTF1,VENTX,MIR202,ADAM8,TUBGCP2,ZNF511,CALY,PRAP1,C10orf125,ECHS1,MIR3944,PAOX,MTG1(D),PAOX(D)	0.0	22	25	[25, 22]	2	0	47	2.0	3	MutuallyExclusive	('SPTA1', 'INPP5A,NKX6-2,TTC40,LOC399829,GPR123,KNDC1,UTF1,VENTX,MIR202,ADAM8,TUBGCP2,ZNF511,CALY,PRAP1,C10orf125,ECHS1,MIR3944,PAOX,MTG1(D),PAOX(D)')	0.02
0.9553072625698324	False	0.90263928669942106	CDKN2A(D)	KIF1B	0.0111731843575419	5	176	[176, 5]	2	2	179	2.3	171	MutuallyExclusive	('CDKN2A(D)', 'KIF1B')	0.04
0.6825396825396826	False	0.46266889743593154	QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)	CEP250	0.0	10	53	[53, 10]	2	0	63	2.1	43	MutuallyExclusive	('QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)', 'CEP250')	0.04
0.9392265193370166	False	0.54598090884889738	CDKN2A(D)	NOTCH2	0.0055248618784530384	6	176	[176, 6]	2	1	181	2.5	170	MutuallyExclusive	('CDKN2A(D)', 'NOTCH2')	0.0
0.64	False	0.58773492368501834	LRP1B	MDM4(A)	0.0	41	9	[9, 41]	2	0	50	1.9	32	MutuallyExclusive	('LRP1B', 'MDM4(A)')	0.02
0.7377049180327869	False	0.54026519667613637	CDK4(A)	NLRP12	0.0	8	53	[53, 8]	2	0	61	2.1	45	MutuallyExclusive	('CDK4(A)', 'NLRP12')	0.03
0.48936170212765956	False	0.54684473997745853	KEL	RB1(D)	0.0	35	12	[12, 35]	2	0	47	1.9	23	MutuallyExclusive	('KEL', 'RB1(D)')	0.02
0.64	False	0.58773492368501834	COL5A3	MDM4(A)	0.0	41	9	[9, 41]	2	0	50	1.9	32	MutuallyExclusive	('COL5A3', 'MDM4(A)')	0.02
0.46774193548387094	False	0.70251418069363414	PIK3R1	PDGFRA(A)	0.016129032258064516	46	17	[17, 46]	2	1	62	1.9	29	MutuallyExclusive	('PIK3R1', 'PDGFRA(A)')	0.01
0.6825396825396826	False	0.46266889743593154	QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)	PIK3CG	0.0	10	53	[53, 10]	2	0	63	2.1	43	MutuallyExclusive	('QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)', 'PIK3CG')	0.0
0.7342657342657343	False	0.92461098174526168	TP53(D)	EGFR(A)	0.04195804195804196	127	22	[22, 127]	2	6	143	2.2	105	MutuallyExclusive	('TP53(D)', 'EGFR(A)')	0.0
0.9065934065934066	False	0.96997045704449969	CDKN2A(D)	SLIT3	0.027472527472527472	11	176	[176, 11]	2	5	182	2.3	165	MutuallyExclusive	('CDKN2A(D)', 'SLIT3')	0.03
0.41935483870967744	False	0.75481946566841052	ZMYM3	MIR3201(D),FAM19A5(D),LOC339685(D)	0.0	22	9	[9, 22]	2	0	31	1.6	13	MutuallyExclusive	('ZMYM3', 'MIR3201(D),FAM19A5(D),LOC339685(D)')	0.04
0.95	False	0.64384448813714468	CDKN2A(D)	SUSD3	0.005555555555555556	5	176	[176, 5]	2	1	180	2.4	171	MutuallyExclusive	('CDKN2A(D)', 'SUSD3')	0.02
0.782608695652174	False	0.74496723730325753	MDM4(A)	WHSC1L1	0.0	5	41	[41, 5]	2	0	46	1.8	36	MutuallyExclusive	('MDM4(A)', 'WHSC1L1')	0.04
0.24324324324324326	False	0.63166239813873781	IDH1	MDM2(A)	0.0	23	14	[14, 23]	2	0	37	1.8	9	MutuallyExclusive	('IDH1', 'MDM2(A)')	0.03
0.8765432098765432	False	0.57107521015319307	PCDHB3	PTEN	0.0	76	5	[5, 76]	2	0	81	2.2	71	MutuallyExclusive	('PCDHB3', 'PTEN')	0.02
0.7083333333333334	False	0.66181067661774984	MDM4(A)	TRIML1	0.0	7	41	[41, 7]	2	0	48	1.9	34	MutuallyExclusive	('MDM4(A)', 'TRIML1')	0.03
0.8275862068965517	False	0.6811518135923802	CNGB1	QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)	0.0	53	5	[5, 53]	2	0	58	1.9	48	MutuallyExclusive	('CNGB1', 'QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)')	0.03
0.64	False	0.58773492368493385	MDM4(A)	PKD1L2	0.0	9	41	[41, 9]	2	0	50	1.9	32	MutuallyExclusive	('MDM4(A)', 'PKD1L2')	0.01
0.9175824175824175	False	0.84521122527697079	CDKN2A(D)	PKD1L2	0.016483516483516484	9	176	[176, 9]	2	3	182	2.3	167	MutuallyExclusive	('CDKN2A(D)', 'PKD1L2')	0.0
0.7464788732394366	False	0.94003276809973046	AKAP6,NPAS3(D),NPAS3(D)	EGFR(A)	0.04225352112676056	127	21	[21, 127]	2	6	142	2.2	106	MutuallyExclusive	('AKAP6,NPAS3(D),NPAS3(D)', 'EGFR(A)')	0.02
0.8536585365853658	False	0.51028849310603552	PTEN	ACACB	0.0	6	76	[76, 6]	2	0	82	2.2	70	MutuallyExclusive	('PTEN', 'ACACB')	0.04
0.3170731707317073	False	0.58224859481358993	DIP2C,C10orf108,LARP4B,GTPBP4,IDI2,IDI2-AS1,IDI1,WDR37,LINC00200,ADARB2,ADARB2-AS1,LOC282980,LOC399708(D)	FAF1(D)	0.0	27	14	[14, 27]	2	0	41	1.8	13	MutuallyExclusive	('DIP2C,C10orf108,LARP4B,GTPBP4,IDI2,IDI2-AS1,IDI1,WDR37,LINC00200,ADARB2,ADARB2-AS1,LOC282980,LOC399708(D)', 'FAF1(D)')	0.01
0.7966101694915254	False	0.6305901243484795	QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)	SIPA1L2	0.0	6	53	[53, 6]	2	0	59	2.0	47	MutuallyExclusive	('QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)', 'SIPA1L2')	0.04
0.9166666666666666	False	0.71281364341469922	DOCK1	EGFR(A)	0.007575757575757576	127	6	[6, 127]	2	1	132	2.3	121	MutuallyExclusive	('DOCK1', 'EGFR(A)')	0.02
0.7666666666666667	False	0.58371596363253875	QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)	POM121L12	0.0	7	53	[53, 7]	2	0	60	2.0	46	MutuallyExclusive	('QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)', 'POM121L12')	0.03
0.20930232558139536	False	0.51455916520284783	QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)	RB1(D)	0.023255813953488372	35	53	[53, 35]	2	2	86	2.2	18	MutuallyExclusive	('QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)', 'RB1(D)')	0.0
0.8536585365853658	False	0.51028849310603552	PTEN	NOTCH2	0.0	6	76	[76, 6]	2	0	82	2.2	70	MutuallyExclusive	('PTEN', 'NOTCH2')	0.04
0.9021739130434783	False	0.54087962867997996	CDKN2A(D)	EP400	0.010869565217391304	10	176	[176, 10]	2	2	184	2.5	166	MutuallyExclusive	('CDKN2A(D)', 'EP400')	0.0
0.7966101694915254	False	0.6305901243484795	QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)	SCN10A	0.0	6	53	[53, 6]	2	0	59	2.0	47	MutuallyExclusive	('QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)', 'SCN10A')	0.02
0.6727272727272727	False	0.54963838946148424	TRPM2	PDGFRA(A)	0.0	46	9	[9, 46]	2	0	55	2.0	37	MutuallyExclusive	('TRPM2', 'PDGFRA(A)')	0.02
0.8275862068965517	False	0.6811518135923802	MLL2	QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)	0.0	53	5	[5, 53]	2	0	58	1.9	48	MutuallyExclusive	('MLL2', 'QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)')	0.04
0.8275862068965517	False	0.68115181359238564	QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)	C7	0.0	5	53	[53, 5]	2	0	58	1.9	48	MutuallyExclusive	('QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)', 'C7')	0.04
0.13333333333333333	False	0.7307223359896704	PIK3CA	FRMPD4(D)	0.0	13	17	[17, 13]	2	0	30	1.6	4	MutuallyExclusive	('PIK3CA', 'FRMPD4(D)')	0.04
0.7358490566037735	False	0.62824751332023865	EPHB1	PDGFRA(A)	0.0	46	7	[7, 46]	2	0	53	1.9	39	MutuallyExclusive	('EPHB1', 'PDGFRA(A)')	0.02
0.32051282051282054	False	0.85608118610150108	QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)	FLG	0.038461538461538464	28	53	[53, 28]	2	3	78	2.0	25	MutuallyExclusive	('QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)', 'FLG')	0.01
0.21052631578947367	False	0.611054972383413	SOX2-OT(A),PIK3CA(A)	KRTAP5-5	0.0	15	23	[23, 15]	2	0	38	1.8	8	MutuallyExclusive	('SOX2-OT(A),PIK3CA(A)', 'KRTAP5-5')	0.03
0.673469387755102	False	0.62370079214886454	PALM2-AKAP2	MDM4(A)	0.0	41	8	[8, 41]	2	0	49	1.9	33	MutuallyExclusive	('PALM2-AKAP2', 'MDM4(A)')	0.04
0.030303030303030304	False	0.67912591416928036	COL6A3	LINC00290(D)	0.0	17	16	[16, 17]	2	0	33	1.7	1	MutuallyExclusive	('COL6A3', 'LINC00290(D)')	0.03
0.803921568627451	False	0.71782110570967139	PPEF2	PDGFRA(A)	0.0	46	5	[5, 46]	2	0	51	1.9	41	MutuallyExclusive	('PPEF2', 'PDGFRA(A)')	0.03
0.4246575342465753	False	0.78363510680201887	QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)	MIR3201(D),FAM19A5(D),LOC339685(D)	0.0273972602739726	22	53	[53, 22]	2	2	73	2.0	31	MutuallyExclusive	('QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)', 'MIR3201(D),FAM19A5(D),LOC339685(D)')	0.03
0.38461538461538464	False	0.62943933143917985	DNAH11	FAF1(D)	0.0	27	12	[12, 27]	2	0	39	1.8	15	MutuallyExclusive	('DNAH11', 'FAF1(D)')	0.0
0.7966101694915254	False	0.6305901243484795	QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)	LINC00478(A)	0.0	6	53	[53, 6]	2	0	59	2.0	47	MutuallyExclusive	('QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)', 'LINC00478(A)')	0.02
0.5428571428571428	False	0.73511117915234603	TRHDE	FAF1(D)	0.0	27	8	[8, 27]	2	0	35	1.7	19	MutuallyExclusive	('TRHDE', 'FAF1(D)')	0.04
0.7692307692307693	False	0.67157492803157992	FRRS1	PDGFRA(A)	0.0	46	6	[6, 46]	2	0	52	1.9	40	MutuallyExclusive	('FRRS1', 'PDGFRA(A)')	0.03
0.7358490566037735	False	0.62824751332023865	SACS	PDGFRA(A)	0.0	46	7	[7, 46]	2	0	53	1.9	39	MutuallyExclusive	('SACS', 'PDGFRA(A)')	0.03
