numTriplets	MutationFrequency1	MutationFrequency0	Overlap	MutationFrequencyDifference	Type	AverageOverlapPMN	MutationFrequencyDifferenceRatio	typeTriplets	Coverage	SetScore	PermutationProbability	Concordance	CooccurrenceRatio	MutationFrequencies	Somatic	CombinedScore	GeneSet	Probability	Gene0	Gene1	RoundedLogPCov
1235	7	6	3	1	Cooccurring	272.6666666666667	0.1	set(['CooccurringMutuallyExclusiveMutuallyExclusive', 'CooccurringCooccurringCooccurring'])	10	25.895085362698342	0.0	False	0.3	[6, 7]	2	86.31695120899448	('CACNA1H', 'SMARCA1')	1.1204738724164403e-05	CACNA1H	SMARCA1	6.0
1227	6	6	3	0	Cooccurring	272.6666666666667	0.0	set(['CooccurringMutuallyExclusiveMutuallyExclusive', 'CooccurringCooccurringCooccurring'])	9	26.487441420670642	0.01	False	0.3333333333333333	[6, 6]	2	79.46232426201193	('CACNA1H', 'CROCC')	6.422946714174054e-06	CACNA1H	CROCC	6.1
1183	6	7	3	1	Cooccurring	272.6666666666667	0.1	set(['CooccurringMutuallyExclusiveMutuallyExclusive', 'CooccurringCooccurringCooccurring'])	10	25.741076275791674	0.0	False	0.3	[7, 6]	2	85.80358758597225	('SMARCA1', 'CROCC')	1.1204738724164403e-05	SMARCA1	CROCC	6.0
443	6	5	3	1	Cooccurring	236.66666666666666	0.125	set(['CooccurringMutuallyExclusiveMutuallyExclusive', 'CooccurringCooccurringCooccurring'])	8	22.222326636722926	0.0	False	0.375	[5, 6]	2	59.259537697927804	('ARHGEF19', 'C12orf35')	3.2216155375246676e-06	ARHGEF19	C12orf35	6.4
398	5	5	3	0	Cooccurring	236.66666666666666	0.0	set(['CooccurringMutuallyExclusiveMutuallyExclusive', 'CooccurringCooccurringCooccurring'])	7	24.228448042104805	0.0	False	0.42857142857142855	[5, 5]	2	56.53304543157788	('ARHGEF19', 'MSH6')	1.6141960859580385e-06	ARHGEF19	MSH6	6.6
378	5	6	3	1	Cooccurring	236.66666666666666	0.125	set(['CooccurringMutuallyExclusiveMutuallyExclusive', 'CooccurringCooccurringCooccurring'])	8	23.191412233278506	0.0	False	0.375	[6, 5]	2	61.843765955409346	('C12orf35', 'MSH6')	3.2216155375246676e-06	C12orf35	MSH6	6.4
367	6	5	3	1	Cooccurring	272.6666666666667	0.125	set(['CooccurringMutuallyExclusiveMutuallyExclusive', 'CooccurringCooccurringCooccurring'])	8	24.528898124877546	0.0	False	0.375	[5, 6]	2	65.41039499967346	('ZAN', 'CACNA1H')	3.2216155375246676e-06	ZAN	CACNA1H	6.4
346	11	5	3	6	Cooccurring	272.6666666666667	0.46153846153846156	set(['CooccurringCooccurringCooccurring'])	13	26.89327948264082	0.01	False	0.23076923076923078	[5, 11]	2	116.53754442477688	('FHOD3', 'HSPG2')	2.6299732423438237e-05	FHOD3	HSPG2	5.7
341	11	5	3	6	Cooccurring	272.6666666666667	0.46153846153846156	set(['CooccurringCooccurringCooccurring'])	13	26.182102593916447	0.02	False	0.23076923076923078	[5, 11]	2	113.45577790697126	('PCDHB3', 'HSPG2')	2.6299732423438237e-05	PCDHB3	HSPG2	5.7
340	5	5	3	0	Cooccurring	272.6666666666667	0.0	set(['CooccurringCooccurringCooccurring'])	7	25.18659417824167	0.0	False	0.42857142857142855	[5, 5]	2	58.76871974923056	('PCDHB3', 'FHOD3')	1.6141960859580385e-06	PCDHB3	FHOD3	6.6
326	7	6	3	1	Cooccurring	272.6666666666667	0.1	set(['CooccurringMutuallyExclusiveMutuallyExclusive', 'CooccurringCooccurringCooccurring'])	10	24.417572529751244	0.03	False	0.3	[6, 7]	2	81.39190843250415	('C12orf35', 'SCN5A')	1.1204738724164403e-05	C12orf35	SCN5A	6.0
315	6	5	3	1	Cooccurring	247.0	0.125	set(['CooccurringCooccurringCooccurring'])	8	22.432762717146023	0.0	False	0.375	[5, 6]	2	59.82070057905606	('ZAN', 'COL7A1')	3.2216155375246676e-06	ZAN	COL7A1	6.4
309	6	5	3	1	Cooccurring	247.0	0.125	set(['CooccurringCooccurringCooccurring'])	8	21.845926364560874	0.0	False	0.375	[5, 6]	2	58.255803638829	('ZAN', 'RB1CC1')	3.2216155375246676e-06	ZAN	RB1CC1	6.4
298	6	6	3	0	Cooccurring	247.0	0.0	set(['CooccurringCooccurringCooccurring'])	9	24.1824715555261	0.01	False	0.3333333333333333	[6, 6]	2	72.5474146665783	('RB1CC1', 'COL7A1')	6.422946714174054e-06	RB1CC1	COL7A1	6.1
276	10	6	3	4	Cooccurring	272.6666666666667	0.3076923076923077	set(['CooccurringMutuallyExclusiveMutuallyExclusive', 'CooccurringCooccurringCooccurring'])	13	26.924448730716662	0.02	False	0.23076923076923078	[6, 10]	2	116.67261116643887	('CACNA1H', 'EP400')	3.8053581776371059e-05	CACNA1H	EP400	5.5
247	6	6	4	0	Cooccurring	217.75	0.0	set(['CooccurringMutuallyExclusiveMutuallyExclusive', 'CooccurringCooccurringCooccurring'])	8	22.357193355766057	0.0	False	0.5	[6, 6]	2	44.714386711532114	('C12orf35', 'IGHMBP2')	2.028436087836825e-08	C12orf35	IGHMBP2	8.6
244	7	6	3	1	Cooccurring	272.6666666666667	0.1	set(['CooccurringMutuallyExclusiveMutuallyExclusive', 'CooccurringCooccurringCooccurring'])	10	25.900447305839727	0.01	False	0.3	[6, 7]	2	86.33482435279909	('CACNA1H', 'MYT1')	1.1204738724164403e-05	CACNA1H	MYT1	6.0
233	6	7	3	1	Cooccurring	272.6666666666667	0.1	set(['CooccurringMutuallyExclusiveMutuallyExclusive', 'CooccurringCooccurringCooccurring'])	10	25.66799083128736	0.0	False	0.3	[7, 6]	2	85.55996943762453	('SCN5A', 'IGHMBP2')	1.1204738724164403e-05	SCN5A	IGHMBP2	6.0
227	8	5	3	3	Cooccurring	272.3333333333333	0.3	set(['CooccurringMutuallyExclusiveMutuallyExclusive', 'CooccurringCooccurringCooccurring'])	10	26.045297069142666	0.01	False	0.3	[5, 8]	2	86.81765689714223	('SPTBN4', 'ADCY1')	8.9826381861761663e-06	SPTBN4	ADCY1	6.0
222	5	5	3	0	Cooccurring	272.3333333333333	0.0	set(['CooccurringMutuallyExclusiveMutuallyExclusive', 'CooccurringCooccurringCooccurring'])	7	25.776558847026223	0.0	False	0.42857142857142855	[5, 5]	2	60.14530397639452	('ZNF318', 'ULK2')	1.6141960859580385e-06	ZNF318	ULK2	6.6
219	8	6	4	2	Cooccurring	230.5	0.2	set(['CooccurringMutuallyExclusiveMutuallyExclusive', 'CooccurringCooccurringCooccurring'])	10	25.33452098284287	0.0	False	0.4	[6, 8]	2	63.33630245710717	('DOCK8', 'ADCY1')	9.4236034272314146e-08	DOCK8	ADCY1	8.0
204	5	7	3	2	Cooccurring	272.6666666666667	0.2222222222222222	set(['CooccurringMutuallyExclusiveMutuallyExclusive', 'CooccurringCooccurringCooccurring'])	9	24.417572529751244	0.0	False	0.3333333333333333	[7, 5]	2	73.25271758925373	('SCN5A', 'C2orf55')	5.6259813791746611e-06	SCN5A	C2orf55	6.2
199	7	5	3	2	Cooccurring	272.6666666666667	0.2222222222222222	set(['CooccurringCooccurringCooccurring'])	9	23.787894923139966	0.0	False	0.3333333333333333	[5, 7]	2	71.3636847694199	('ZAN', 'MYT1')	5.6259813791746611e-06	ZAN	MYT1	6.2
194	5	5	3	0	Cooccurring	245.33333333333334	0.0	set(['CooccurringCooccurringCooccurring'])	7	21.538892249018257	0.0	False	0.42857142857142855	[5, 5]	2	50.25741524770927	('ULK2', 'SRMS')	1.6141960859580385e-06	ULK2	SRMS	6.6
194	6	6	3	0	Cooccurring	272.3333333333333	0.0	set(['CooccurringMutuallyExclusiveMutuallyExclusive', 'CooccurringCooccurringCooccurring'])	9	23.880355767648705	0.02	False	0.3333333333333333	[6, 6]	2	71.64106730294613	('C12orf35', 'SKIV2L')	6.422946714174054e-06	C12orf35	SKIV2L	6.1
193	8	11	3	3	Cooccurring	253.33333333333334	0.1875	set(['CooccurringMutuallyExclusiveMutuallyExclusive', 'CooccurringCooccurringCooccurring'])	16	24.955294692199892	0.01	False	0.1875	[11, 8]	2	133.09490502506608	('CABIN1', 'COL11A2')	0.00014360089662446629	CABIN1	COL11A2	5.0
192	11	5	3	6	Cooccurring	253.33333333333334	0.46153846153846156	set(['CooccurringMutuallyExclusiveMutuallyExclusive', 'CooccurringCooccurringCooccurring'])	13	24.27319734782653	0.03	False	0.23076923076923078	[5, 11]	2	105.18385517391496	('PDE6B', 'CABIN1')	2.6299732423438237e-05	PDE6B	CABIN1	5.7
192	6	10	3	4	Cooccurring	272.3333333333333	0.3076923076923077	set(['CooccurringMutuallyExclusiveMutuallyExclusive', 'CooccurringCooccurringCooccurring'])	13	27.094348495200094	0.02	False	0.23076923076923078	[10, 6]	2	117.4088434792004	('SYNE2', 'SKIV2L')	3.8053581776371059e-05	SYNE2	SKIV2L	5.5
182	5	5	2	0	Cooccurring	356.5	0.0	set(['CooccurringCooccurringCooccurring'])	8	26.185547050671218	0.03	False	0.25	[5, 5]	2	104.74218820268487	('ZNF318', 'SRMS')	0.00038418002555840514	ZNF318	SRMS	4.3
181	5	5	3	0	Cooccurring	272.6666666666667	0.0	set(['CooccurringMutuallyExclusiveMutuallyExclusive', 'CooccurringCooccurringCooccurring'])	7	24.157058404571917	0.0	False	0.42857142857142855	[5, 5]	2	56.36646961066781	('ZAN', 'FHOD3')	1.6141960859580385e-06	ZAN	FHOD3	6.6
180	8	5	3	3	Cooccurring	272.3333333333333	0.3	set(['CooccurringMutuallyExclusiveMutuallyExclusive', 'CooccurringCooccurringCooccurring'])	10	25.65902494924071	0.01	False	0.3	[5, 8]	2	85.5300831641357	('SMARCA4', 'ADCY1')	8.9826381861761663e-06	SMARCA4	ADCY1	6.0
179	5	5	3	0	Cooccurring	272.3333333333333	0.0	set(['CooccurringMutuallyExclusiveMutuallyExclusive', 'CooccurringCooccurringCooccurring'])	7	26.44541231231583	0.03	False	0.42857142857142855	[5, 5]	2	61.70596206207028	('SPTBN4', 'SMARCA4')	1.6141960859580385e-06	SPTBN4	SMARCA4	6.6
179	10	5	3	5	Cooccurring	272.6666666666667	0.4166666666666667	set(['CooccurringMutuallyExclusiveMutuallyExclusive', 'CooccurringCooccurringCooccurring'])	12	24.8118963480169	0.02	False	0.25	[5, 10]	2	99.2475853920676	('ZAN', 'EP400')	1.9167509954902627e-05	ZAN	EP400	5.8
176	8	5	3	3	Cooccurring	253.33333333333334	0.3	set(['CooccurringCooccurringCooccurring'])	10	24.02912491614068	0.02	False	0.3	[5, 8]	2	80.09708305380228	('PDE6B', 'COL11A2')	8.9826381861761663e-06	PDE6B	COL11A2	6.0
175	12	10	4	2	Cooccurring	211.0	0.1111111111111111	set(['CooccurringMutuallyExclusiveMutuallyExclusive', 'CooccurringCooccurringCooccurring'])	18	25.053060998185536	0.03	False	0.2222222222222222	[10, 12]	2	112.73877449183492	('EP400', 'DNAH11')	8.9181444512215345e-06	EP400	DNAH11	6.3
173	8	7	3	1	Cooccurring	272.6666666666667	0.08333333333333333	set(['CooccurringMutuallyExclusiveMutuallyExclusive', 'CooccurringCooccurringCooccurring'])	12	25.845438019240454	0.04	False	0.25	[7, 8]	2	103.38175207696182	('SCN5A', 'ADCY1')	3.1110147049657721e-05	SCN5A	ADCY1	5.6
168	11	5	3	6	Cooccurring	272.3333333333333	0.46153846153846156	set(['CooccurringMutuallyExclusiveMutuallyExclusive', 'CooccurringCooccurringCooccurring'])	13	26.295206410779592	0.04	False	0.23076923076923078	[5, 11]	2	113.94589444671156	('SPTBN4', 'SLIT3')	2.6299732423438237e-05	SPTBN4	SLIT3	5.7
165	10	6	3	4	Cooccurring	272.3333333333333	0.3076923076923077	set(['CooccurringCooccurringCooccurring'])	13	25.617171454640516	0.01	False	0.23076923076923078	[6, 10]	2	111.0077429701089	('C12orf35', 'SYNE2')	3.8053581776371059e-05	C12orf35	SYNE2	5.5
164	6	7	3	1	Cooccurring	272.6666666666667	0.1	set(['CooccurringMutuallyExclusiveMutuallyExclusive', 'CooccurringCooccurringCooccurring'])	10	26.37611582554434	0.01	False	0.3	[7, 6]	2	87.9203860851478	('SCN5A', 'CROCC')	1.1204738724164403e-05	SCN5A	CROCC	6.0
157	10	7	3	3	Cooccurring	272.6666666666667	0.21428571428571427	set(['CooccurringMutuallyExclusiveMutuallyExclusive', 'CooccurringCooccurringCooccurring'])	14	26.813123135590363	0.04	False	0.21428571428571427	[7, 10]	2	125.12790796608837	('SCN5A', 'EP400')	6.6104563626204264e-05	SCN5A	EP400	5.3
153	8	5	3	3	Cooccurring	272.6666666666667	0.3	set(['CooccurringCooccurringCooccurring'])	10	24.873747005336746	0.01	False	0.3	[5, 8]	2	82.91249001778915	('PCDHB3', 'ADCY1')	8.9826381861761663e-06	PCDHB3	ADCY1	6.0
