Gene0	Gene1	Probability	Weight
CD79Bloss	MYST4loss	0.00998884986386	4.60628582169
MYST4loss	SSX4loss	0.0024050407232	6.03018844284
CEP110loss	NFKBIEloss	0.00965672676705	4.64010053217
CBFBloss	NOTCH2loss	5.47390927461e-05	9.81293242836
BCL9loss	CBFA2T3loss	0.00633366075915	5.06187689101
MLL2loss	DDIT3loss	0.00230153655868	6.07417831012
CEP110loss	HIST1H4Iloss	0.0072720134174	4.92372207703
MYST4loss	HMGN2P46loss	0.00121109695759	6.71622875355
KLK2loss	MLLloss	0.000486943302341	7.62736286396
MLL3loss	KMT2Dloss	0.00138773661492	6.58008119361
MLL3loss	IDH1loss	0.0085609088449	4.76054892099
MLL3loss	WWTR1loss	0.00105684331897	6.85246881489
NF2loss	CYTSBloss	0.00464617313808	5.37171137928
CYTSBloss	PDGFBloss	0.00374600502284	5.58706533411
MYST4loss	KMT2Aloss	0.000762214482284	7.17928256907
MLL3loss	ZNF331loss	0.00692226298305	4.97301254214
MLL3loss	TFRCloss	0.000500516397156	7.5998701982
CDH1loss	BCL9loss	0.0037401133852	5.58863935112
FGFR1OPloss	MLL3loss	0.00615002434232	5.09129923907
MLL2loss	WIF1loss	0.00783909116385	4.84863237432
FLT3loss	MYST4loss	0.00381610498266	5.5685250146
CEP110loss	SRSF3loss	0.00806864876972	4.81976924942
CEP110loss	HMGA1loss	0.00870889669458	4.74341016726
GPC3loss	CYTSBloss	0.00758178686821	4.88200637252
NUTM1loss	MYST4loss	0.00461919094204	5.37753570999
MLL2loss	CDKN1Bloss	0.000295644661968	8.1263522911
SUZ12loss	CYTSBloss	0.00662364125578	5.01711002161
MLL3loss	ETV5loss	0.0017516665313	6.3471876406
MAFloss	NOTCH2loss	1.64855024641e-06	13.3156142948
CEP110loss	CBLloss	0.00836593309071	4.78358740376
HLA-Aloss	TNFRSF14loss	0.00444078390196	5.41692436363
EWSR1loss	MYST4loss	0.00764013958853	4.87433940522
RPL5loss	CYTSBloss	0.00877298264359	4.73607843423
CEP110loss	POU5F1loss	0.00815724743036	4.80884849162
MLL3loss	EIF4A2loss	0.00877720178357	4.7355976256
MLL3loss	TFPTloss	0.0034548508402	5.66797599485
SSX1loss	CYTSBloss	0.00476028808169	5.34744709121
MLL2loss	KLK2loss	0.00513117782385	5.27242005086
HERPUD1loss	NOTCH2loss	0.000164686216373	8.71146861358
SSX2loss	CYTSBloss	0.00588433958198	5.13546076513
MYST4loss	MYCLloss	0.00867865256537	4.74688899676
NF2loss	MYST4loss	0.000466174170222	7.67095123783
NONOloss	CYTSBloss	0.00697995110534	4.9647133672
TBL1XR1loss	MLL3loss	0.000993867931427	6.9139062259
FANCAloss	NOTCH2loss	9.63732070865e-05	9.24728232977
CBFA2T3loss	NOTCH2loss	2.79395137191e-05	10.4854686088
CEP110loss	KAT6Aloss	0.00841756311529	4.77743490885
PATZ1loss	CYTSBloss	0.00464617313808	5.37171137928
BCL9loss	CBFBloss	0.00239548930559	6.03416776602
CHEK2loss	CYTSBloss	0.00252198650774	5.98270839128
KAT6Bloss	MYST4loss	0.000429149382259	7.75370548925
CEP110loss	KMT2Aloss	0.00153406135858	6.47983657777
TTLloss	HLA-Aloss	0.00263747056235	5.93793494144
CEP110loss	CCND3loss	0.00944925510231	4.66181936574
SMARCE1loss	CYTSBloss	0.00941142810737	4.66583057204
MLL2loss	CDK4loss	0.000792043317398	7.14089447396
CDH11loss	NOTCH2loss	0.00158555204131	6.44682264125
CLP1loss	HLA-Aloss	0.00261793217367	5.94537051952
CEP110loss	PIM1loss	0.00829190897381	4.79247506206
RPL22loss	HLA-Aloss	0.00736850997317	4.91053976783
H3F3Bloss	MYST4loss	0.00788871976706	4.84232141749
MLL2loss	SMARCD1loss	0.00103725238727	6.87117999722
