Gene0	Gene1	Probability	Weight
MLL2loss	HOXC11loss	0.0222650301511	3.80473798602
MLL3loss	H3F3Aloss	0.0268945134416	3.61583297446
CEP110loss	CLP1loss	0.0235034172409	3.7506094539
MYST4loss	NACAloss	0.0268412534925	3.61781526557
MYST4loss	CBLloss	0.0341711605819	3.3763732485
CEP110loss	CCND3loss	0.00944925510231	4.66181936574
ABI1loss	CYTSBloss	0.0115992897307	4.45681141285
MLL2loss	SH2B3loss	0.0432228181598	3.14138672504
MAFloss	CYTSBloss	0.0100865739384	4.59655005249
CBLCloss	MLLloss	0.0261797314924	3.64276977476
MLL2loss	SOX2loss	0.0403869353749	3.20924892812
WASloss	MYST4loss	0.0102163827099	4.58376269914
MYST4loss	SSX2loss	0.0490358164887	3.01520429914
FAM123Bloss	SDHBloss	0.0345082182384	3.3665577735
PMS1loss	HLA-Aloss	0.0320286245241	3.44112525965
MLL3loss	BMPR1Aloss	0.045307274169	3.0942876817
FUSloss	CEP110loss	0.0110566291523	4.50472510762
MLL3loss	PICALMloss	0.0109229808228	4.51688637679
MLL3loss	TFPTloss	0.0034548508402	5.66797599485
MLL2loss	NACAloss	0.0154929077683	4.1673729231
CNBPloss	MLL3loss	7.49129634187e-06	11.8017686991
MAFloss	NOTCH2loss	1.64855024641e-06	13.3156142948
LCP1loss	HLA-Aloss	0.0313303504459	3.46316798845
RPL5loss	CYTSBloss	0.00877298264359	4.73607843423
CBLBloss	MLL3loss	0.00135923196926	6.60083546724
MLL3loss	TFGloss	0.000155626960868	8.76804869087
MLL3loss	NACAP1loss	0.0129155765015	4.3493212153
FOXA1loss	MYST4loss	0.0428355906478	3.15038596475
CBFBloss	CYTSBloss	0.0187177861877	3.97828107413
CEP110loss	CBLloss	0.00836593309071	4.78358740376
MYST4loss	CNTRLloss	0.0325734548948	3.42425758934
MLL3loss	WASloss	0.023621084893	3.74561553815
RPN1loss	MLL3loss	0.000121053277276	9.01927980121
MLLloss	KLK2loss	0.000486943302341	7.62736286396
CEP110loss	OLIG2loss	0.00752597253604	4.88939523603
HOXD11loss	HLA-Aloss	0.0199760329175	3.91322207816
NACAloss	CYTSBloss	0.027119324008	3.60750874218
PDGFBloss	CYTSBloss	0.00374600502284	5.58706533411
KAT6Bloss	CEP110loss	0.0463592653911	3.07133410639
CEP110loss	SDHDloss	0.0324887205689	3.4268623093
CNOT3loss	MLL3loss	0.000576584860429	7.45838802973
HERPUD1loss	NOTCH2loss	0.000164686216373	8.71146861358
BTG1loss	CYTSBloss	0.022071154242	3.81348376094
SPOPloss	CYTSBloss	0.0231937230045	3.76387359707
CDH11loss	BCL9loss	0.0149103279759	4.20570115341
KMT2Dloss	MLLloss	0.00231268016461	6.06934818259
SMARCB1loss	FAM22Aloss	0.0444431898512	3.11354353796
MYST4loss	FOXO1loss	0.0122467009638	4.40249868734
FANCAloss	CYTSBloss	0.0281639800288	3.56971142143
ERCC5loss	HLA-Aloss	0.0408698578757	3.19736245888
ABL1loss	CYTSBloss	0.0474100006255	3.04892208888
MLL2loss	KMT2Dloss	2.84240964803e-07	15.0734434909
MLL3loss	EIF4A2loss	0.00877720178357	4.7355976256
HOXC11loss	CYTSBloss	0.0339406601278	3.38314156952
SSX2loss	MLLloss	0.0149700600996	4.20170306589
HMGA2loss	CYTSBloss	0.0472254312801	3.05282273318
MLL2loss	BTG1loss	0.0348985877367	3.35530891659
MLL3loss	KMT2Dloss	0.00138773661492	6.58008119361
MLL3loss	COX6Closs	0.00145312539417	6.53403859793
BCL2loss	CYTSBloss	0.0300606778488	3.50453734505
MLL2loss	ZNF331loss	0.0320263194813	3.44119723045
CEP110loss	KAT6Aloss	0.00841756311529	4.77743490885
CDH1loss	BCL9loss	0.0037401133852	5.58863935112
MLL2loss	TFPTloss	0.0270556999984	3.60985757506
SDC4loss	HLA-Aloss	0.0411964581049	3.18940299465
CEP89loss	MLL3loss	0.0202985755558	3.89720456506
CEP110loss	MALAT1loss	0.0112118744745	4.49078184138
SSX1loss	MYST4loss	0.0388431390027	3.24822382001
FLT3loss	MYST4loss	0.00381610498266	5.5685250146
MYST4loss	PSIP1loss	0.0493857263306	3.00809383722
MYST4loss	HMGN2P46loss	0.00121109695759	6.71622875355
CEP110loss	ZNF331loss	0.0276029177838	3.58983379504
ATRXloss	BRAFloss	0.0415209748985	3.18155656019
LHFPloss	CYTSBloss	0.012715293956	4.36494976154
LASP1loss	CYTSBloss	0.011171309522	4.49440643714
CEP110loss	TNFAIP3loss	0.0234768136532	3.75174199795
MLL3loss	MTCP1loss	0.0163856151571	4.11135145362
FAM22Bloss	TET1loss	0.0482942491235	3.03044279118
SUFUloss	CYTSBloss	0.0423934907817	3.16076044783
MYST4loss	POU2AF1loss	0.0157261171286	4.15243243736
DDX5loss	MYST4loss	0.0472493192672	3.05231703219
CDH11loss	NOTCH2loss	0.00158555204131	6.44682264125
KAT6Bloss	CYTSBloss	0.0221609614011	3.80942303352
MLL3loss	SOX2loss	0.000248958694443	8.29822356103
MYST4loss	SMARCD1loss	0.0349977435969	3.35247168823
BCL3loss	MYST4loss	0.0326478055994	3.42197763534
MLL3loss	BCL6loss	0.00649279425307	5.03706229346
CEP110loss	HSP90AB1loss	0.0466875648259	3.06427742758
MLL3loss	WWTR1loss	0.00105684331897	6.85246881489
DAXXloss	CEP110loss	0.0398166559129	3.22346996396
BCL9loss	CBFA2T3loss	0.00633366075915	5.06187689101
CEP110loss	TFPTloss	0.0343119473846	3.37226166521
NF2loss	CYTSBloss	0.00464617313808	5.37171137928
HRASloss	CYTSBloss	0.0255132120436	3.66855884164
MLL3loss	FOXL2loss	0.000153878878901	8.77934476565
SDHBloss	HLA-Aloss	0.0144084955616	4.23993727681
MLL2loss	KLK2loss	0.00513117782385	5.27242005086
WASloss	CYTSBloss	0.032286969095	3.43309156375
IDH1loss	HLA-Aloss	0.0203041641913	3.89692928139
MLL3loss	ZRSR2loss	0.00859193562144	4.75693123409
CEP110loss	KMT2Aloss	0.00153406135858	6.47983657777
LMO1loss	HLA-Aloss	0.0488178804697	3.01965863016
FASloss	CYTSBloss	0.0369199474631	3.29900329234
KMT2Closs	MLL3loss	0.00341147420897	5.68061076176
C15orf65loss	NKX2-1loss	0.0434467048609	3.13622026764
MLL2loss	CDKN1Bloss	0.000295644661968	8.1263522911
TCL6loss	MYST4loss	0.017381021585	4.05237638153
NFE2L2loss	HLA-Aloss	0.0326770654789	3.42108180865
CYTSBloss	CBFA2T3loss	0.0299581508671	3.5079538423
MLL3loss	LPPloss	0.01012388236	4.59285805628
MLL2loss	MSH2loss	0.0460483242034	3.07806390775
