Gene0	Gene1	Weight	cometProbability	mutexProbability	Frequency	MinProbability
FEVloss	HLA-Aloss	3.41740768347	0.0327973459353	0.020894606975917662	2	0.020894606975917662
BTG1loss	CYTSBloss	3.81348376094	0.022071154242	NA	1	0.022071154242
FAM123Bloss	SDHBloss	3.3665577735	0.0345082182384	NA	1	0.0345082182384
MYST4loss	SSX4loss	6.03018844284	0.0024050407232	NA	1	0.0024050407232
CEP110loss	NFKBIEloss	4.64010053217	0.00965672676705	NA	1	0.00965672676705
CEP110loss	TNFAIP3loss	3.75174199795	0.0234768136532	NA	1	0.0234768136532
MLL3loss	KMT2Dloss	6.58008119361	0.00138773661492	0.0009232399439762541	2	0.0009232399439762541
MLL2loss	HOXC11loss	3.80473798602	0.0222650301511	0.014309439859728015	2	0.014309439859728015
MLL3loss	WWTR1loss	6.85246881489	0.00105684331897	0.000749825807931427	2	0.000749825807931427
BCL3loss	MYST4loss	3.42197763534	0.0326478055994	NA	1	0.0326478055994
CYTSBloss	PDGFBloss	5.58706533411	0.00374600502284	NA	1	0.00374600502284
MYST4loss	PDGFBloss	4.99696778576	0.00675840890469	NA	1	0.00675840890469
BCL3loss	MLLloss	3.64276977476	0.0261797314925	NA	1	0.0261797314925
CEP110loss	STAT3loss	4.29750069274	0.0136025134239	NA	1	0.0136025134239
CEP110loss	POU5F1loss	4.80884849162	0.00815724743036	NA	1	0.00815724743036
SUFUloss	CYTSBloss	3.16076044783	0.0423934907817	NA	1	0.0423934907817
MLL3loss	RPL10loss	NA	NA	0.03295828321347494	1	0.03295828321347494
MYCL1loss	NRASloss	3.28228645318	0.0375423198426	NA	1	0.0375423198426
CEP110loss	LMO2loss	3.27797824676	0.0377044088115	NA	1	0.0377044088115
SMARCB1loss	FAM22Aloss	3.11354353796	0.0444431898512	NA	1	0.0444431898512
CEP110loss	HMGA1loss	4.74341016726	0.00870889669458	NA	1	0.00870889669458
MLL3loss	NUTM2Bloss	3.4288343225	0.0324247155133	0.01901670226975569	2	0.01901670226975569
SDC4loss	HLA-Aloss	3.18940299465	0.0411964581049	0.030856471204701873	2	0.030856471204701873
MSI2loss	MLL3loss	NA	NA	0.039098594980366726	1	0.039098594980366726
MLL3loss	ETV5loss	6.3471876406	0.0017516665313	0.001220641346521814	2	0.001220641346521814
MDS2loss	HLA-Aloss	NA	NA	0.04712438848211392	1	0.04712438848211392
EWSR1loss	MYST4loss	4.87433940522	0.00764013958853	NA	1	0.00764013958853
RPL5loss	CYTSBloss	4.73607843423	0.00877298264359	NA	1	0.00877298264359
SRSF2loss	MYST4loss	5.09349296331	0.00613654767231	NA	1	0.00613654767231
SSX1loss	CYTSBloss	5.34744709121	0.00476028808169	NA	1	0.00476028808169
MALAT1loss	HLA-Aloss	3.47699881824	0.0309000085543	0.0193820055687374	2	0.0193820055687374
ATRXloss	BRAFloss	3.18155656019	0.0415209748985	0.022510345924004593	2	0.022510345924004593
MAFloss	HLA-Aloss	NA	NA	0.03535752346116208	1	0.03535752346116208
SSX2loss	CYTSBloss	5.13546076513	0.00588433958198	NA	1	0.00588433958198
NCOA4loss	MYST4loss	5.58569568719	0.00375113924228	NA	1	0.00375113924228
MYST4loss	CDX2loss	4.08148914859	0.0168823066614	NA	1	0.0168823066614
MLL3loss	IDH1loss	4.76054892099	0.0085609088449	0.00528569992765436	2	0.00528569992765436
CBFA2T3loss	NOTCH2loss	10.4854686088	2.79395137191e-05	1.6170190919557313e-05	2	1.6170190919557313e-05
BRAFloss	SDHBloss	NA	NA	0.03480251360284793	1	0.03480251360284793
CD79Bloss	MYST4loss	4.60628582169	0.00998884986386	NA	1	0.00998884986386
ZBTB16loss	CCDC123loss	3.05975665676	0.0468991064118	NA	1	0.0468991064118
CDKN2Closs	MYST4loss	4.11107428758	0.0163901573226	NA	1	0.0163901573226
PATZ1loss	CYTSBloss	5.37171137928	0.00464617313808	NA	1	0.00464617313808
MLL2loss	SMARCD1loss	6.87117999722	0.00103725238727	0.0007366584142886644	2	0.0007366584142886644
PMS1loss	HLA-Aloss	3.44112525965	0.0320286245241	0.020934245775433395	2	0.020934245775433395
CDH1loss	NOTCH2loss	11.8197591102	7.35772990086e-06	4.312528575216611e-06	2	4.312528575216611e-06
ZCCHC8loss	CYTSBloss	4.05904095837	0.0172655695778	NA	1	0.0172655695778
CCDC123loss	KMT2Aloss	3.02827720009	0.0483989480456	NA	1	0.0483989480456
C15orf65loss	NKX2-1loss	3.13622026764	0.0434467048609	NA	1	0.0434467048609
KLF6loss	MYST4loss	3.68284577468	0.0251512979686	NA	1	0.0251512979686
BCRloss	CYTSBloss	3.60781447371	0.0271110340428	NA	1	0.0271110340428
CDH11loss	NOTCH2loss	6.44682264125	0.00158555204131	0.0008892254069472434	2	0.0008892254069472434
MLL3loss	PHF6loss	3.53150145886	0.0292609487571	0.0177998364437126	2	0.0177998364437126
MYST4loss	FOXO1loss	4.40249868734	0.0122467009638	NA	1	0.0122467009638
