Gene0	Gene1	cometProbability
BTG1loss	CYTSBloss	0.022071154242
FAM123Bloss	SDHBloss	0.0345082182384
CEP110loss	POU2AF1loss	0.0323589557445
CEP110loss	RARAloss	0.0226253987878
OMDloss	MLLloss	0.0457953727698
CYTSBloss	KIF5Bloss	0.0119765809101
MYST4loss	SSX4loss	0.0024050407232
CEP110loss	NFKBIEloss	0.00965672676705
MPLloss	RUNDC2Aloss	0.0332907413
RPL22loss	MYST4loss	0.0221685733975
DAXXloss	CEP110loss	0.0398166559129
CEP110loss	HIST1H4Iloss	0.0072720134174
MYST4loss	STAT3loss	0.0167664761085
MYST4loss	HMGN2P46loss	0.00121109695759
RUNDC2Aloss	MYCLloss	0.0355640239845
TCL6loss	MYST4loss	0.017381021585
CEP110loss	TFPTloss	0.0343119473846
CD79Aloss	MYST4loss	0.0413985878641
KLK2loss	MLLloss	0.000486943302341
CEP110loss	SDHAF2loss	0.0242976182956
WASloss	MYST4loss	0.0102163827099
MSI2loss	MYST4loss	0.0308436990741
CCDC6loss	CYTSBloss	0.0267272569818
KMT2Dloss	FAM123Bloss	0.0156398969439
NF2loss	CYTSBloss	0.00464617313808
BCL3loss	MYST4loss	0.0326478055994
CYTSBloss	PDGFBloss	0.00374600502284
MYST4loss	KMT2Aloss	0.000762214482284
BCL3loss	MLLloss	0.0261797314925
MAFloss	CYTSBloss	0.0100865739384
CEP110loss	PICALMloss	0.0185309107636
CEP110loss	STAT3loss	0.0136025134239
CBFBloss	CYTSBloss	0.0187177861877
CEP110loss	PAX5loss	0.0463592653911
VTI1Aloss	CYTSBloss	0.0129840469791
CEP110loss	POU5F1loss	0.00815724743036
RALGDSloss	CYTSBloss	0.0123651990914
SUFUloss	CYTSBloss	0.0423934907817
SUZ12loss	CYTSBloss	0.00662364125578
MYCL1loss	NRASloss	0.0375423198426
CEP110loss	LMO2loss	0.0377044088115
SMARCB1loss	FAM22Aloss	0.0444431898512
FLT3loss	MYST4loss	0.00381610498266
CEP110loss	SRSF3loss	0.00806864876972
CEP110loss	HMGA1loss	0.00870889669458
GPC3loss	CYTSBloss	0.00758178686821
