Gene0	Gene1	MutationFrequencyDifferenceRatio	Concordance	Probability	CooccurrenceRatio	MutationFrequency1	MutationFrequency0	MutationFrequencies	Somatic	Overlap	Coverage	RoundedLogPCov	MutationFrequencyDifference	Type	GeneSet
CBFBloss	NOTCH2loss	0.2665615141955836	True	3.169568362665889e-05	0.09700315457413249	1053	1729	[1729, 1053]	NA	246	2536	7.9	676	MutuallyExclusive	frozenset(['CBFBloss', 'NOTCH2loss'])
BCL9loss	CBFA2T3loss	0.4897549216552832	True	0.003548892041431751	0.0827641623141824	1957	738	[738, 1957]	NA	206	2489	5.8	1219	MutuallyExclusive	frozenset(['BCL9loss', 'CBFA2T3loss'])
MLL3loss	PICALMloss	0.7198192382182053	True	0.006685010546670107	0.024531956100710135	1351	236	[236, 1351]	NA	38	1549	5.4	1115	MutuallyExclusive	frozenset(['MLL3loss', 'PICALMloss'])
WWTR1loss	MLL3loss	0.4778660612939841	True	0.000749825807931427	0.01362088535754824	236	657	[657, 236]	NA	12	881	6.1	421	MutuallyExclusive	frozenset(['WWTR1loss', 'MLL3loss'])
CDH1loss	BCL9loss	0.4585612116112747	True	0.002114505672635709	0.07951198990323938	738	1828	[1828, 738]	NA	189	2377	6.1	1090	MutuallyExclusive	frozenset(['CDH1loss', 'BCL9loss'])
MLL2loss	WIF1loss	0.5110336817653891	True	0.005285672246018671	0.015098722415795587	657	217	[217, 657]	NA	13	861	5.2	440	MutuallyExclusive	frozenset(['MLL2loss', 'WIF1loss'])
MLL2loss	CDKN1Bloss	0.5988538681948424	True	0.00021113616921384352	0.013371537726838587	844	217	[217, 844]	NA	14	1047	6.7	627	MutuallyExclusive	frozenset(['MLL2loss', 'CDKN1Bloss'])
MLL3loss	ETV5loss	0.4865771812080537	True	0.001220641346521814	0.0145413870246085	671	236	[236, 671]	NA	13	894	5.9	435	MutuallyExclusive	frozenset(['MLL3loss', 'ETV5loss'])
MAFloss	NOTCH2loss	0.3124533929903057	True	9.743140252142592e-07	0.0976882923191648	1053	1891	[1891, 1053]	NA	262	2682	9.4	838	MutuallyExclusive	frozenset(['MAFloss', 'NOTCH2loss'])
CDH11loss	BCL9loss	0.4624107517849643	True	0.008276107312284236	0.08231835363292735	738	1839	[1839, 738]	NA	196	2381	5.5	1101	MutuallyExclusive	frozenset(['CDH11loss', 'BCL9loss'])
MLL3loss	EIF4A2loss	0.48419864559819414	True	0.005817244866000416	0.016930022573363433	665	236	[236, 665]	NA	15	886	5.2	429	MutuallyExclusive	frozenset(['MLL3loss', 'EIF4A2loss'])
MLL3loss	TFPTloss	0.6887791107974595	True	0.0021960095152028045	0.021877205363443897	1212	236	[236, 1212]	NA	31	1417	5.8	976	MutuallyExclusive	frozenset(['MLL3loss', 'TFPTloss'])
MLL2loss	KLK2loss	0.7204152249134949	True	0.003248583811864811	0.020761245674740483	1258	217	[217, 1258]	NA	30	1445	5.6	1041	MutuallyExclusive	frozenset(['MLL2loss', 'KLK2loss'])
HERPUD1loss	NOTCH2loss	0.26014319809069214	True	9.455907295137923e-05	0.09785202863961814	1053	1707	[1707, 1053]	NA	246	2514	7.4	654	MutuallyExclusive	frozenset(['HERPUD1loss', 'NOTCH2loss'])
MLL2loss	ATF1loss	0.5408052230685527	True	0.0007366584142886644	0.013057671381936888	714	217	[217, 714]	NA	12	919	6.1	497	MutuallyExclusive	frozenset(['MLL2loss', 'ATF1loss'])
MLL3loss	ZNF331loss	0.7008196721311475	True	0.004310022313128731	0.023224043715846996	1262	236	[236, 1262]	NA	34	1464	5.5	1026	MutuallyExclusive	frozenset(['MLL3loss', 'ZNF331loss'])
TBL1XR1loss	MLL3loss	0.45700824499411075	True	0.0007124434330710127	0.012956419316843345	236	624	[624, 236]	NA	11	849	6.1	388	MutuallyExclusive	frozenset(['TBL1XR1loss', 'MLL3loss'])
