MutationFrequencyDifferenceRatio	Concordance	Probability	Gene0	Gene1	CooccurrenceRatio	MutationFrequency1	MutationFrequency0	MutationFrequencies	Somatic	Overlap	Coverage	RoundedLogPCov	MutationFrequencyDifference	Type	GeneSet
0.7295308187672493	True	0.020894606975917662	FEVloss	HLA-Aloss	0.014719411223551058	155	948	[948, 155]	0	16	1087	4.7	793	MutuallyExclusive	frozenset(['FEVloss', 'HLA-Aloss'])
0.5489130434782609	True	0.047145366348214771	MLL2loss	LPPloss	0.020652173913043477	722	217	[217, 722]	0	19	920	4.3	505	MutuallyExclusive	frozenset(['MLL2loss', 'LPPloss'])
0.7595008508224617	True	0.015510533181252796	MLL3loss	XPCloss	0.027226318774815655	1575	236	[236, 1575]	0	48	1763	5.1	1339	MutuallyExclusive	frozenset(['MLL3loss', 'XPCloss'])
0.6707182320441989	True	0.020934245775433395	PMS1loss	HLA-Aloss	0.013259668508287293	155	762	[762, 155]	0	12	905	4.6	607	MutuallyExclusive	frozenset(['PMS1loss', 'HLA-Aloss'])
0.8311412812897752	True	0.041875528711082584	MLL3loss	LHFPloss	0.031395842172252865	2195	236	[236, 2195]	0	74	2357	4.8	1959	MutuallyExclusive	frozenset(['MLL3loss', 'LHFPloss'])
0.06661411115490737	True	0.045358760623868052	PIK3CAloss	MLLT10loss	0.12219156484036263	1508	1339	[1339, 1508]	0	310	2537	4.7	169	MutuallyExclusive	frozenset(['PIK3CAloss', 'MLLT10loss'])
0.7357466063348417	True	0.044204621734488435	ATICloss	HLA-Aloss	0.016289592760180997	155	968	[968, 155]	0	18	1105	4.4	813	MutuallyExclusive	frozenset(['ATICloss', 'HLA-Aloss'])
0.6802919708029197	True	0.017905834479764529	MLL3loss	SSX1loss	0.024817518248175182	1168	236	[236, 1168]	0	34	1370	4.9	932	MutuallyExclusive	frozenset(['MLL3loss', 'SSX1loss'])
0.5966796875	True	0.026617241742425635	MLL2loss	SH2B3loss	0.0205078125	828	217	[217, 828]	0	21	1024	4.6	611	MutuallyExclusive	frozenset(['MLL2loss', 'SH2B3loss'])
0.2665615141955836	True	3.169568362665889e-05	CBFBloss	NOTCH2loss	0.09700315457413249	1053	1729	[1729, 1053]	0	246	2536	7.9	676	MutuallyExclusive	frozenset(['CBFBloss', 'NOTCH2loss'])
0.4155024785939612	True	0.018265027843714244	CYLDloss	BCL9loss	0.08066696710229833	738	1660	[1660, 738]	0	179	2219	5.1	922	MutuallyExclusive	frozenset(['CYLDloss', 'BCL9loss'])
0.7406955460646736	True	0.048254913990530578	MLL3loss	ABI1loss	0.02867602196461257	1450	236	[236, 1450]	0	47	1639	4.5	1214	MutuallyExclusive	frozenset(['MLL3loss', 'ABI1loss'])
0.4897549216552832	True	0.0035488920414317509	BCL9loss	CBFA2T3loss	0.0827641623141824	1957	738	[738, 1957]	0	206	2489	5.8	1219	MutuallyExclusive	frozenset(['BCL9loss', 'CBFA2T3loss'])
0.6671698113207547	True	0.010150537056587961	MLL3loss	SSX2loss	0.02339622641509434	1120	236	[236, 1120]	0	31	1325	5.1	884	MutuallyExclusive	frozenset(['MLL3loss', 'SSX2loss'])
0.13568773234200743	True	0.0423789242235902	MLL3loss	RAD21loss	0.013011152416356878	309	236	[236, 309]	0	7	538	4.1	73	MutuallyExclusive	frozenset(['MLL3loss', 'RAD21loss'])
0.5054704595185996	True	0.044312102668360782	MLL3loss	CCND2loss	0.02188183807439825	698	236	[236, 698]	0	20	914	4.3	462	MutuallyExclusive	frozenset(['MLL3loss', 'CCND2loss'])
0.7108753315649867	True	0.0052856999276543601	MLL3loss	IDH1loss	0.023872679045092837	1308	236	[236, 1308]	0	36	1508	5.5	1072	MutuallyExclusive	frozenset(['MLL3loss', 'IDH1loss'])
0.5386313465783664	True	0.014309439859728015	MLL2loss	HOXC11loss	0.017660044150110375	705	217	[217, 705]	0	16	906	4.8	488	MutuallyExclusive	frozenset(['MLL2loss', 'HOXC11loss'])
0.4778660612939841	True	0.00074982580793142703	WWTR1loss	MLL3loss	0.01362088535754824	236	657	[657, 236]	0	12	881	6.1	421	MutuallyExclusive	frozenset(['WWTR1loss', 'MLL3loss'])
0.6325350949628407	True	0.010171962168527018	MLL3loss	MTCP1loss	0.022295623451692816	1002	236	[236, 1002]	0	27	1211	5.1	766	MutuallyExclusive	frozenset(['MLL3loss', 'MTCP1loss'])
0.3312568706485892	True	1.6170190919557313e-05	NOTCH2loss	CBFA2T3loss	0.10296812019054599	1957	1053	[1053, 1957]	0	281	2729	8.2	904	MutuallyExclusive	frozenset(['CBFA2T3loss', 'NOTCH2loss'])
0.4921212121212121	True	0.031061530786554353	MLL2loss	HMGA2loss	0.01818181818181818	623	217	[217, 623]	0	15	825	4.4	406	MutuallyExclusive	frozenset(['MLL2loss', 'HMGA2loss'])
0.8392338943702844	True	0.048685271241922311	SMARCB1loss	HLA-Aloss	0.019152640742890307	155	1601	[1601, 155]	0	33	1723	4.5	1446	MutuallyExclusive	frozenset(['SMARCB1loss', 'HLA-Aloss'])
0.7922535211267606	True	0.03406152484486108	MLL3loss	CHEK2loss	0.029678068410462777	1811	236	[236, 1811]	0	59	1988	4.8	1575	MutuallyExclusive	frozenset(['MLL3loss', 'CHEK2loss'])
0.5325842696629214	True	0.046729251161386834	MLL2loss	NAB2loss	0.020224719101123594	691	217	[217, 691]	0	18	890	4.3	474	MutuallyExclusive	frozenset(['MLL2loss', 'NAB2loss'])
0.8905990016638935	True	0.018692365111961731	HLA-Aloss	LCP1loss	0.019550748752079867	2296	155	[155, 2296]	0	47	2404	5.1	2141	MutuallyExclusive	frozenset(['LCP1loss', 'HLA-Aloss'])
0.5116279069767442	True	0.010145313115863051	MLL2loss	WWTR1loss	0.01627906976744186	657	217	[217, 657]	0	14	860	4.9	440	MutuallyExclusive	frozenset(['MLL2loss', 'WWTR1loss'])
0.7231833910034602	True	0.019256517692125771	MLL2loss	ZNF331loss	0.023529411764705882	1262	217	[217, 1262]	0	34	1445	4.9	1045	MutuallyExclusive	frozenset(['MLL2loss', 'ZNF331loss'])
0.4585612116112747	True	0.0021145056726357089	CDH1loss	BCL9loss	0.07951198990323938	738	1828	[1828, 738]	0	189	2377	6.1	1090	MutuallyExclusive	frozenset(['CDH1loss', 'BCL9loss'])
